episode,return,best_return,epsilon,steps
1,-94.12718782681947,-94.12718782681947,0.9975647931856284,77
2,-370.9648279004679,-94.12718782681947,0.994694868233018,91
3,-123.45689425654811,-94.12718782681947,0.9918964265315666,89
4,-97.46886272681338,-94.12718782681947,0.9898891893026067,64
5,-268.32685902258254,-94.12718782681947,0.9864492393707227,110
6,-124.56642128678372,-94.12718782681947,0.9838619771715104,83
7,-127.72202298756066,-94.12718782681947,0.9806612155015765,103
8,-173.6778000792491,-94.12718782681947,0.9785231544186968,69
9,-232.27126056992196,-94.12718782681947,0.9743541874346561,135
10,-121.49298973335861,-94.12718782681947,0.9723228435199147,66
11,-136.49019094961466,-94.12718782681947,0.9687327895857508,117
12,-204.47419152180086,-94.12718782681947,0.9660112545829447,89
13,-100.95342558083752,-94.12718782681947,0.9637850035673516,73
14,-101.72835797042906,-94.12718782681947,0.9616857131685425,69
15,-363.56249474946895,-94.12718782681947,0.9585912453201152,102
16,-128.3450520102328,-94.12718782681947,0.9560507481889937,84
17,-122.93085216798828,-94.12718782681947,0.9534270072823651,87
18,-298.9739688430259,-94.12718782681947,0.9506307200443683,93
19,-122.66895250035749,-94.12718782681947,0.9474541068217583,106
20,-76.87613096407205,-76.87613096407205,0.944735953980377,91
21,-217.32266132452588,-76.87613096407205,0.9422936816655347,82
22,-115.8848472333324,-76.87613096407205,0.9401250732504345,73
23,-167.47859026680982,-76.87613096407205,0.9372516500511001,97
24,-278.6686977997192,-76.87613096407205,0.9332385458132845,136
25,-186.7774414757838,-76.87613096407205,0.9292142855087395,137
26,-149.66720335828524,-76.87613096407205,0.9263760835514105,97
27,-98.7765654951241,-76.87613096407205,0.9233723516881923,103
28,-310.1354232630009,-76.87613096407205,0.9209303295299411,84
29,-93.12366511611508,-76.87613096407205,0.9180609964460001,99
30,-152.84567395467394,-76.87613096407205,0.9154030203699478,92
31,-82.91451954528291,-76.87613096407205,0.912178205826609,112
32,-291.80035922942955,-76.87613096407205,0.9082785106145957,136
33,-118.7792978118045,-76.87613096407205,0.906135494224701,75
34,-70.04367439516662,-70.04367439516662,0.9036847535478635,86
35,-227.7189456635567,-70.04367439516662,0.9015532072071001,75
36,-120.10034796079995,-70.04367439516662,0.8981820699942306,119
37,-105.45690892046618,-70.04367439516662,0.8964874010880379,60
38,-72.93789762231725,-70.04367439516662,0.8944582672600044,72
39,-167.64594036995084,-70.04367439516662,0.8908068651868025,130
40,-111.10392515817588,-70.04367439516662,0.889238822999808,56
41,-141.74737270406823,-70.04367439516662,0.887199157796263,73
42,-107.46592328954608,-70.04367439516662,0.8845244023824348,96
43,-182.4014504405913,-70.04367439516662,0.8813869397309223,113
44,-96.53644048442375,-70.04367439516662,0.8788412584887118,92
45,-204.5206773899423,-70.04367439516662,0.876881986896181,71
46,-204.3358166939266,-70.04367439516662,0.8743775784756451,91
47,-161.9631529101693,-70.04367439516662,0.8722643891106777,77
48,-156.71258754043726,-70.04367439516662,0.8696373485721262,96
49,-224.48212119204953,-70.04367439516662,0.8671004070825283,93
50,-137.28278849534811,-70.04367439516662,0.8648972116356998,81
51,-89.16904163322704,-70.04367439516662,0.8623207852935474,95
52,-235.85099214492374,-70.04367439516662,0.8600764705212519,83
53,-70.87318045288518,-70.04367439516662,0.8568157423124363,121
54,-75.94483690793838,-70.04367439516662,0.8543989221283899,90
55,-75.43609746833181,-70.04367439516662,0.8514014316162621,112
56,-108.14421165952518,-70.04367439516662,0.8492672080281278,80
57,-128.09005711385527,-70.04367439516662,0.8468729995124731,90
58,-70.92508451456195,-70.04367439516662,0.8430307396228482,145
59,-72.03117922293697,-70.04367439516662,0.8409979039795475,77
60,-100.63596667104488,-70.04367439516662,0.8387073329912481,87
61,-111.22578299605286,-70.04367439516662,0.835113781026034,137
62,-135.1751874125335,-70.04367439516662,0.832370686008965,105
63,-168.88859967857843,-70.04367439516662,0.8303131534759635,79
64,-111.94032791987303,-70.04367439516662,0.8282610319843008,79
65,-75.42155790537845,-70.04367439516662,0.8265766251813175,65
66,-20.074250310087564,-20.074250310087564,0.8244826963692857,81
67,-57.43924287187254,-20.074250310087564,0.8222142092010384,88
68,-187.54114384036387,-20.074250310087564,0.8196957584933594,98
69,-133.9945295778893,-20.074250310087564,0.8177227391711742,77
70,-65.4217467205759,-20.074250310087564,0.8141738517510959,139
71,-21.991139127744347,-20.074250310087564,0.8119355595527884,88
72,-41.149656912644,-20.074250310087564,0.8099571002096292,78
73,-44.81065658371685,-20.074250310087564,0.8078574580766326,83
74,-113.02989145440563,-20.074250310087564,0.8047062881642802,125
75,-163.0908676210757,-20.074250310087564,0.8016433813906567,122
76,-83.16445091416898,-20.074250310087564,0.799391830261841,90
77,-106.29780003550653,-20.074250310087564,0.7965744304685183,113
78,-127.86158500747186,-20.074250310087564,0.7949586036470104,65
79,-172.4299664647585,-20.074250310087564,0.7923805516929586,104
80,-51.55931466993526,-20.074250310087564,0.7906997280955065,68
81,-94.91519666947313,-20.074250310087564,0.7888256636016341,76
82,-66.70275427141846,-20.074250310087564,0.786391557395939,99
83,-78.39577361589595,-20.074250310087564,0.7835985794967256,114
84,-60.49475522420499,-20.074250310087564,0.7815473764984515,84
85,-99.21471275571265,-20.074250310087564,0.7786998979225088,117
86,-80.9244904199032,-20.074250310087564,0.7756941544934693,124
87,-110.41260262874955,-20.074250310087564,0.7736891754992292,83
88,-37.04481921573463,-20.074250310087564,0.7716656800235143,84
89,-62.52570686526508,-20.074250310087564,0.7701517722549829,63
90,-156.17632982709205,-20.074250310087564,0.7672769187061976,120
91,-88.13193229883763,-20.074250310087564,0.7645326204499756,115
92,-97.3136085453208,-20.074250310087564,0.7627010049695434,77
93,-93.39176803633038,-20.074250310087564,0.7592173120630996,147
94,-105.42436449048587,-20.074250310087564,0.7569278793315736,97
95,-113.01711294024417,-20.074250310087564,0.7541997027386761,116
96,-50.50519279025001,-20.074250310087564,0.7522072941592882,85
97,-77.2633801826782,-20.074250310087564,0.7493108274982385,124
98,-50.248690047644786,-20.074250310087564,0.7472160387699276,90
99,-100.86111564446261,-20.074250310087564,0.7447105735736109,108
100,-75.23239425085998,-20.074250310087564,0.7396806409610155,218
101,-94.52895119620742,-20.074250310087564,0.7371793480659363,109
102,-54.978477881219966,-20.074250310087564,0.7355549465754817,71
103,-122.41458654144418,-20.074250310087564,0.7330230801145421,111
104,-79.88487066708804,-20.074250310087564,0.7308635946840141,95
105,-53.67674718324688,-20.074250310087564,0.7293673412579669,66
106,-70.74325665816619,-20.074250310087564,0.7275129393623225,82
107,-91.06436285791976,-20.074250310087564,0.7248532892084444,118
108,-156.63636146773763,-20.074250310087564,0.7223385340591856,112
109,-86.31626329706043,-20.074250310087564,0.7199001364901502,109
110,-89.5495303488234,-20.074250310087564,0.7174928317472116,108
111,-103.17765843151395,-20.074250310087564,0.7149390071831803,115
112,-122.26384236537461,-20.074250310087564,0.7132345187606182,77
113,-45.42619698584524,-20.074250310087564,0.7113139248633794,87
114,-78.79005149604595,-20.074250310087564,0.7081252863105516,145
115,-72.00093072425388,-20.074250310087564,0.7055635962365262,117
116,-39.543927780712615,-20.074250310087564,0.7037959619068703,81
117,-84.86565021306365,-20.074250310087564,0.7015333932904484,104
118,-64.75582897739493,-20.074250310087564,0.69930029764794,103
119,-38.01351763706299,-20.074250310087564,0.6970748558205697,103
120,-56.48695398327183,-20.074250310087564,0.6935042627029523,166
