episode,return,update
1,-190.3909486826413,1
2,-74.75273051535578,1
3,-436.7892833496875,1
4,-287.7702257016881,1
5,-287.01035633446975,1
6,-141.85905069326697,2
7,-110.94941631217395,2
8,-403.9418595960118,2
9,-71.26945952414239,2
10,-261.98705045814467,2
11,-137.0294528127237,2
12,-209.76013805010666,3
13,-157.61073833053374,3
14,-317.56396781162766,3
15,-159.70176885690847,3
16,-501.35905263789795,3
17,-294.11740473918485,3
18,-176.38412557447396,4
19,-413.71492676459314,4
20,-287.51096200909126,4
21,-139.41325768275073,4
22,-5.68609245990217,4
23,-145.26348726808553,4
24,-151.05925591352033,5
25,-302.1174057974254,5
26,-393.46581765028264,5
27,-339.74528960259664,5
28,-333.9806557203365,5
29,-70.71415350561213,6
30,-96.13364651660926,6
31,-110.11874382183044,6
32,-347.455519551861,6
33,-173.15031370570864,6
34,-137.46976098758202,6
35,-74.46654040669796,7
36,-186.2367093703054,7
37,-114.13577806281097,7
38,-103.90055855571688,7
39,-75.65087007853478,7
40,-65.94011929128536,7
41,-122.67318724240877,8
42,-112.13885200381776,8
43,-114.61968887595901,8
44,-134.4844467411239,8
45,-131.8341981731355,8
46,-110.45629178864371,8
47,-199.38349868695803,9
48,-343.50863991127693,9
49,-70.30951992752208,9
50,-128.68459907785763,9
51,-114.91990007540934,9
52,-206.47537802126928,9
53,-175.05565311865948,10
54,-133.74876320489176,10
55,-91.70571034500198,10
56,-56.42376504444475,10
57,-308.875041365519,10
58,-396.84290751085115,11
59,-229.81347872067064,11
60,-90.03386553116005,11
61,-183.24026946264598,11
62,-257.07294183267794,11
63,-52.43817493947311,12
64,-96.48010636099094,12
65,-240.49029384156495,12
66,-261.016156273565,12
67,-182.78068017613555,12
68,-74.40619148519505,12
69,-185.05137099460416,13
70,-318.74781514149004,13
71,-136.32722817695964,13
72,-106.89942123493937,13
73,-43.78953912335937,13
74,-83.5032154284505,13
75,-433.43035543987105,14
76,-240.7559892751686,14
77,-91.63120211710955,14
78,-357.5607164477449,14
79,-52.102469310305906,15
80,-291.5230387090074,15
81,-95.30778482804418,15
82,-302.42962221358454,15
83,-412.68440296403793,15
84,-514.4040953023843,16
85,-353.39977511235895,16
86,-498.39058556390637,16
87,-286.1126483659291,16
88,-465.6917993943299,16
89,-455.406046124275,17
90,-554.5827036144987,17
91,-764.2284750944991,18
92,-553.841114211858,18
93,-316.4593673305598,18
94,-521.8552253177672,18
95,-412.97569970438934,18
96,-591.3491871764759,19
97,-415.2662286005215,19
98,-475.5779588047717,19
99,-310.7070910911733,19
100,-446.5191141347369,19
101,-411.07232503622464,19
102,-114.17890788620461,20
103,-217.73425893037955,20
104,-191.6271241751753,20
105,-257.4344463382817,21
106,-241.8723387607005,21
107,-266.31596867728274,21
108,-276.8562457901328,21
109,-390.0207983927648,21
110,-359.41876223029135,22
111,-396.73949000528773,22
112,-355.2492951585085,22
113,-262.5434760406963,23
114,-92.16529197404053,23
115,-348.43709477477876,23
116,-572.6451990674352,23
117,-208.85219248690055,23
118,-610.584201030689,24
119,-334.9367471173882,24
120,-426.19255024361655,24
121,-471.4843530937682,25
122,-400.36362698336677,25
123,-195.03181231778387,25
124,-600.7069776614081,25
125,-444.53030530190864,26
126,-199.59752500981904,26
127,-192.55750681197935,26
128,-438.97887639909425,26
129,-258.29714333765185,26
130,-245.97397748099345,26
131,-447.41119817108415,27
132,-245.30154670579532,27
133,-317.5620490516932,27
134,-403.6904582312974,27
135,-95.47059996699002,27
136,-385.4392844474384,27
137,-98.46486676103609,28
138,-74.1743865949053,28
139,-590.6640662671696,28
140,-264.71857683564235,28
141,-492.99601655310255,29
142,-335.0808199499149,29
143,-139.49081539250585,29
144,-168.52817769907068,29
145,-136.75312887672817,29
146,-396.9170859430954,30
147,-427.09348288560767,30
148,-14.3661852009825,30
149,-362.56366471505777,30
150,-478.58262044785334,31
151,-87.14379397311447,31
152,-333.6052093285323,31
153,-49.01913421313945,31
154,-274.4185543947858,31
155,-95.4512081597911,32
156,-187.50633390143548,32
157,-509.88033184094803,32
158,-498.08751295491015,32
159,-280.3094571751147,32
160,-106.5067667855742,33
161,-107.13088920331073,33
162,-416.1432564659631,33
163,-184.70742248613664,33
164,-495.4126216268192,33
165,-77.4237420777047,34
166,-471.13176476138636,34
167,-184.48873779034574,34
168,-142.4509601359381,34
169,-374.371842876997,34
170,-113.64607781592126,34
171,-104.01087663918575,35
172,-318.0744975107638,35
173,-313.03181792344833,35
174,-325.83446363572284,35
175,-323.4432066430676,35
176,-100.38519867661154,36
177,-608.1604616462982,36
178,-447.4439535005919,36
179,-97.8732529074833,36
180,-97.62114395467212,36
181,-170.65363557476252,36
182,-35.271345443504416,37
183,-90.23786144556234,37
184,-118.290411987684,37
185,-110.68449251165674,37
186,-186.3736164446625,37
187,-66.76671851537822,37
188,-442.8802074547757,38
189,-265.16909650004266,38
190,-268.1078187312429,38
191,-413.14548088499686,38
192,-183.44312784811018,38
193,-399.59391545347324,38
194,-102.32650000691434,39
195,-283.45260780642,39
196,-471.1896697324666,39
197,-175.7131492703508,39
198,-462.420968159351,39
199,-378.71354397900734,39
200,-328.24039303925764,40
201,-139.04947992807686,40
202,-489.70617453285337,40
203,-411.5072624683865,40
204,-251.32472658758604,40
205,-82.91280337767977,40
