episode,return,best_return,epsilon,steps
1,145.7420576279851,145.7420576279851,0.995,77
2,-950.0785663715737,145.7420576279851,0.990025,51
3,-45.670215324416404,145.7420576279851,0.985074875,89
4,-599.361719115702,145.7420576279851,0.980149500625,61
5,-355.2763039851368,145.7420576279851,0.975248753121875,107
6,-306.478109584604,145.7420576279851,0.9703725093562656,71
7,-672.6562547959359,145.7420576279851,0.9655206468094842,109
8,-306.1912982024935,145.7420576279851,0.9606930435754368,67
9,-810.7266007009725,145.7420576279851,0.9558895783575596,54
10,-522.487080348144,145.7420576279851,0.9511101304657719,75
11,-11.650401948481658,145.7420576279851,0.946354579813443,92
12,-399.24671929222063,145.7420576279851,0.9416228069143757,62
13,-687.2069934211968,145.7420576279851,0.9369146928798039,49
14,-589.9960090301731,145.7420576279851,0.9322301194154049,64
15,-195.1593735699762,145.7420576279851,0.9275689688183278,51
16,-192.67219795994583,145.7420576279851,0.9229311239742362,51
17,-457.29097325480416,145.7420576279851,0.918316468354365,69
18,80.93086296452134,145.7420576279851,0.9137248860125932,134
19,18.858106126968323,145.7420576279851,0.9091562615825302,113
20,-1275.5389771024404,145.7420576279851,0.9046104802746175,71
21,-465.83676608740006,145.7420576279851,0.9000874278732445,71
22,381.1981290342205,381.1981290342205,0.8955869907338783,62
23,-283.80908791401725,381.1981290342205,0.8911090557802088,52
24,-900.6975502626287,381.1981290342205,0.8866535105013078,65
25,-1025.9155685231935,381.1981290342205,0.8822202429488012,74
26,-390.28461182914566,381.1981290342205,0.8778091417340572,49
27,329.04134377431365,381.1981290342205,0.873420096025387,60
28,-670.3012642389456,381.1981290342205,0.86905299554526,66
29,-1239.072135428825,381.1981290342205,0.8647077305675337,92
30,-1586.0494360501038,381.1981290342205,0.8603841919146961,77
31,-101.20683587052474,381.1981290342205,0.8560822709551226,127
32,409.1533714079776,409.1533714079776,0.8518018596003469,118
33,-176.13811169654764,409.1533714079776,0.8475428503023452,47
34,334.46252672862124,409.1533714079776,0.8433051360508335,80
35,-997.2786374509126,409.1533714079776,0.8390886103705792,58
36,-541.2255912595404,409.1533714079776,0.8348931673187264,115
37,313.98790041298116,409.1533714079776,0.8307187014821328,59
38,-121.85079369683012,409.1533714079776,0.826565107974722,79
39,-1949.0071455408827,409.1533714079776,0.8224322824348484,112
40,-4.661629753847592,409.1533714079776,0.8183201210226743,61
41,-1099.1808746108793,409.1533714079776,0.8142285204175609,88
42,669.5957942562301,669.5957942562301,0.810157377815473,93
43,-458.0271348870988,669.5957942562301,0.8061065909263957,55
44,1207.8613061846468,1207.8613061846468,0.8020760579717637,119
45,-768.0524459081903,1207.8613061846468,0.7980656776819048,52
46,286.6184574063252,1207.8613061846468,0.7940753492934953,70
47,83.29067699376992,1207.8613061846468,0.7901049725470278,59
48,-1208.7641633150167,1207.8613061846468,0.7861544476842928,125
49,-165.04137502366143,1207.8613061846468,0.7822236754458712,68
50,-1496.585534131998,1207.8613061846468,0.7783125570686419,106
51,-846.5944141377081,1207.8613061846468,0.7744209942832987,81
52,91.93846736619071,1207.8613061846468,0.7705488893118821,66
53,-239.13930073949336,1207.8613061846468,0.7666961448653228,88
54,148.40721325314507,1207.8613061846468,0.7628626641409961,134
55,103.5229492386984,1207.8613061846468,0.7590483508202912,132
56,-390.1814309946267,1207.8613061846468,0.7552531090661897,73
57,-672.6694376259736,1207.8613061846468,0.7514768435208588,132
58,-1270.2298099044945,1207.8613061846468,0.7477194593032545,129
59,-99.33406626352871,1207.8613061846468,0.7439808620067382,65
60,290.3107221016405,1207.8613061846468,0.7402609576967045,77
61,-1198.1435920461167,1207.8613061846468,0.736559652908221,84
62,411.69912060844194,1207.8613061846468,0.7328768546436799,100
63,162.34999612966885,1207.8613061846468,0.7292124703704614,77
64,-588.567278166018,1207.8613061846468,0.7255664080186092,52
65,-404.34729040438606,1207.8613061846468,0.7219385759785161,55
66,-641.7001424105795,1207.8613061846468,0.7183288830986235,72
67,-391.95464362872553,1207.8613061846468,0.7147372386831304,89
68,-645.1944137763885,1207.8613061846468,0.7111635524897147,64
69,345.7556722344623,1207.8613061846468,0.7076077347272661,60
70,115.4620120301729,1207.8613061846468,0.7040696960536298,58
71,315.3555711141753,1207.8613061846468,0.7005493475733616,89
72,-188.8415034911941,1207.8613061846468,0.6970466008354949,88
73,406.710666708035,1207.8613061846468,0.6935613678313174,78
74,93.3741789973958,1207.8613061846468,0.6900935609921608,63
75,524.6672670609744,1207.8613061846468,0.6866430931872,51
76,-1579.334370942961,1207.8613061846468,0.683209877721264,81
77,-1140.2852499592886,1207.8613061846468,0.6797938283326577,159
78,185.29251814706595,1207.8613061846468,0.6763948591909944,84
