episode,return,update
1,-190.3909486826413,1
2,-74.75273051535578,1
3,-436.7892833496875,1
4,-287.7702257016881,1
5,-287.01035633446975,1
6,-132.8458294320662,1
7,-9.350937506915358,1
8,-538.7801855979212,1
9,-120.19574147120191,1
10,-261.2283450315457,1
11,-56.91735802121076,2
12,-134.07384718795893,2
13,-139.14541123382736,2
14,-211.38714603224912,2
15,-117.45746175055635,2
16,-370.3746745682946,2
17,-300.7188877449328,2
18,-106.31575273463953,2
19,-207.51471545376464,2
20,-459.6839613139391,2
21,-81.63196782777307,2
22,-96.75992846903515,2
23,-71.41219348371027,2
24,-383.3612267645757,3
25,-106.20895195245004,3
26,-304.79195401916854,3
27,-311.89567011439306,3
28,-348.4444247945559,3
29,-84.82672200810235,3
30,-120.6699661682712,3
31,-185.3631628859262,3
32,-246.78183537750718,3
33,-173.62680989472932,3
34,-84.68754646483976,3
35,-114.9489563751844,4
36,-193.15422233892087,4
37,-277.61476000667733,4
38,-88.85566628082847,4
39,-121.44267136674513,4
40,-337.52820498035777,4
41,-205.30705784416648,4
42,-384.51290233350784,4
43,-146.66161983288205,4
44,-216.9035489492942,4
45,-191.05806574565125,4
46,-90.49492613249487,4
47,-148.93523633297772,4
48,-362.56706379623984,5
49,-352.7303671842409,5
50,-226.5374205769479,5
51,-152.289421863025,5
52,-161.95351467026794,5
53,-179.91182674950892,5
54,-185.48359063957736,5
55,-106.55978460401542,5
56,-185.56220337159536,5
57,-111.42121763057175,5
58,-139.94483627722317,5
59,-284.3002226194186,5
60,-75.12396744195888,6
61,-389.71710301140024,6
62,-452.2059924321432,6
63,-208.2064775436915,6
64,-109.04038228891463,6
65,-138.71516540671507,6
66,-105.8523455227652,6
67,-122.33744636681065,6
68,-118.00260665082232,6
69,-439.56737215129743,6
70,-145.96373686153356,6
71,-321.22396473542267,6
72,-156.59700233030122,6
73,-98.40384226290762,7
74,-81.36167465340553,7
75,-290.2606359971945,7
76,-294.1104462410484,7
77,-113.16697583534771,7
78,-390.83711677317154,7
79,-73.2045622181263,7
80,-362.9829424244709,7
81,-151.08355900891115,7
82,-114.30732821932818,7
83,-231.81057038315538,7
84,-481.7407819147532,7
85,-134.36570758787462,7
86,-133.04580273792706,8
87,-305.58891043742034,8
88,-177.38412013235376,8
89,-0.6923072652567299,8
90,-207.1862620532536,8
91,-426.9827644973728,8
92,-90.50439929384498,8
93,-274.6180748408064,8
94,-329.6950299329551,8
