episode,return,update
1,-190.3909486826413,1
2,-74.75273051535578,1
3,-436.7892833496875,1
4,-287.7702257016881,1
5,-287.01035633446975,1
6,-144.737999672409,2
7,-124.07523343433216,2
8,-380.40792932203476,2
9,-66.99765124632529,2
10,-272.6693128613666,2
11,-104.35485662728149,2
12,-202.0289307550414,3
13,-424.1111650786299,3
14,-303.56038422837287,3
15,-80.42148862557355,3
16,-434.04818450515774,3
17,-420.5757085373242,3
18,-167.60013607602951,4
19,-398.35614407822874,4
20,-481.6718460780803,4
21,-83.73515883042316,4
22,-109.74410150266928,4
23,-67.6019227827259,4
24,-344.1874188624189,5
25,-20.450886483053736,5
26,-356.4703085608546,5
27,-364.70068889364666,5
28,-357.1816311111835,5
29,-68.61966331517435,5
30,-118.18696487980971,6
31,-251.11861889271805,6
32,-177.9433106889693,6
33,-92.37344906467594,6
34,-99.95521774731081,6
35,-105.03203284828223,7
36,-119.3701678534423,7
37,-240.5329059214395,7
38,-108.950799358101,7
39,-219.63156383788953,7
40,-301.41745515592345,7
41,-179.55123892337738,8
42,-411.0956525435771,8
43,-11.160705346873172,8
44,-361.06957286618615,8
45,-152.30466241873216,8
46,-100.05606625802108,8
47,-136.3152773581049,8
48,-396.2449581109377,9
49,-424.60163819539565,9
50,-370.0212265551588,9
51,-60.83180415716366,9
52,-96.52263030377776,9
53,-253.9825435926052,9
54,-124.85070025426256,10
55,-107.15868051462888,10
56,-227.6572349912076,10
57,-37.69163842028466,10
58,-140.46684921216934,10
59,-143.70265928850358,10
60,-58.09373049387319,11
61,-340.3524243758621,11
62,-371.6559972686009,11
63,-344.2610530598417,11
64,-102.308897073785,11
65,-118.05097007773806,11
66,-88.53119676451155,12
67,-351.57750060674573,12
68,-100.52468699825901,12
69,-214.18160472700617,12
70,-314.9398766066173,12
71,-313.0186361046085,12
72,-121.66264694886846,13
73,-78.06175605399869,13
74,-114.09584356743683,13
75,-256.83245364033587,13
76,-253.58932003642155,13
77,-101.70457509925532,13
78,-366.348978262407,13
79,-74.16601156361844,14
80,-215.95891206101993,14
81,-64.70333349357384,14
82,-76.59987290549846,14
83,-178.7806241834005,14
84,-447.4979540198616,14
85,-180.01451577251714,15
86,-314.4798232198867,15
87,-427.85007907211013,15
88,-343.30352807513987,15
89,-85.1017757417442,15
90,-190.99282497652501,15
91,-505.4768208977264,16
92,-103.35477770733849,16
93,-225.7175007769614,16
94,-470.99131088168883,16
