episode,return,update
1,-200.49680840719708,1
2,-131.41932465434078,1
3,-89.49548660409229,1
4,-321.4740617080987,1
5,-148.2725322448951,1
6,-109.77167038690095,2
7,-247.195790773669,2
8,-521.5651633425946,2
9,-188.9036057324215,2
10,-302.49202050909537,2
11,-195.18097458479218,2
12,-210.8952997562351,3
13,-110.5091669080527,3
14,-196.95156881927878,3
15,-91.94976619078199,3
16,-436.269871499264,3
17,-114.54444714053918,3
18,-321.23273327610696,4
19,-405.6451877437095,4
20,0.7172654428439103,4
21,-87.618209126929,4
22,21.71082031416985,4
23,-177.78478706965,5
24,-254.75963985103937,5
25,-139.36081238550582,5
26,-394.0927340933485,5
27,-266.0780502959156,5
28,-380.4027826401852,5
29,-58.60891369155347,6
30,-146.06796209156784,6
31,-178.7680461132958,6
32,-6.456523112382484,6
33,-364.5023890999394,6
34,-120.74329855659391,7
35,-96.01165740848619,7
36,-234.85569142256045,7
37,-457.4214603560314,7
38,-103.71710421012382,7
39,-74.62351136371231,7
40,-126.87670098123127,8
41,-133.10771626564772,8
42,-244.9088092641481,8
43,-229.70088279208187,8
44,-144.9550507532918,8
45,-103.57783633162917,8
46,-183.57311929057053,8
47,-123.19084787378004,9
48,-300.65449408875725,9
49,-334.40144442362356,9
50,-353.5434362597929,9
51,-288.6848903585813,9
52,-178.09779593461104,9
53,14.838227637067803,9
54,-204.88827477547903,10
55,-218.0279618431579,10
56,-327.88995856959707,10
57,-132.0502267571164,10
58,-120.1189766048646,10
59,-353.267411090109,10
60,-309.9313913919931,11
61,-330.2479914661145,11
62,-336.2963271252022,11
63,-416.583088251169,11
64,-95.33655728492045,11
65,-348.4968568547155,11
66,-105.38504178380902,12
67,-109.66730797380893,12
68,-101.76109827472838,12
69,-138.10208905117548,12
70,-199.70086428555987,12
71,-336.1593139343511,12
72,-93.33488219744217,12
73,-318.5271777273016,13
74,-200.98553462616513,13
75,-103.9193864426533,13
76,-231.702720240602,13
77,-276.2496335946244,13
78,-337.79623068445983,13
79,-117.26059016020423,14
80,-218.68211390848685,14
81,-31.1103564375896,14
82,-207.35534504251325,14
83,-313.1182266717042,14
84,-234.65998832695726,14
85,-239.10972937556951,15
86,-359.17531412106405,15
87,-256.1656792032876,15
88,-345.0807756715908,15
89,-102.69395819922987,15
90,-83.83764427324805,15
91,-441.2445252315052,16
92,-354.761578422887,16
93,-166.85405685299304,16
94,-191.87094309816248,16
95,-341.16190738778226,16
96,-192.8175459819504,16
97,-311.7098342560225,17
98,-193.3400067522859,17
99,-344.3445708135397,17
100,-329.41091336991724,17
101,-124.46000107727015,17
102,-137.7543067465171,18
103,-90.41241168096803,18
104,-281.3643281022556,18
105,-123.54757956673009,18
106,-79.74818002824543,18
107,-304.65032844933285,18
108,-525.8785801240085,18
109,-420.59430597631695,19
110,-308.2261228340908,19
111,-404.32525675263486,19
112,-200.18858181881032,19
113,-345.10635819192834,19
114,-103.43862551741093,19
115,-340.9635417035397,20
116,-306.9322000284784,20
117,-279.6837507162593,20
118,-208.58416097112485,20
119,-135.14716551825123,20
120,-401.4523349299722,20
121,-569.7582951542441,21
122,-138.10318437530546,21
123,-159.38822872166332,21
124,-224.36585376111952,21
125,-251.6363479327671,21
126,61.563703026229916,21
127,-83.75885265175489,22
128,-99.16535705977928,22
129,0.2535241083737958,22
130,-218.45093393841637,22
131,-224.26761253517986,22
132,-82.96650119053032,22
133,-182.4180804615983,22
134,-336.26459001591354,23
135,-144.03259643341346,23
136,-410.5533978305902,23
137,-349.82259465837,23
138,-115.92405806788516,23
139,-540.4659373839661,23
140,-29.362035724598698,24
141,-135.5457332371331,24
142,-303.28533994434764,24
143,-102.36527540425462,24
144,-128.40180771720026,24
145,-105.22980169472217,24
146,-374.12184208164297,25
147,-92.1676066038474,25
148,-327.587076998429,25
149,-366.16910478720797,25
150,-317.9274644314958,25
151,-120.66596242543316,25
152,-116.1304949766878,26
153,-160.06123153140197,26
154,-285.9614349626183,26
155,-120.30621663818172,26
156,-110.12145089325308,26
157,-121.99953842157409,26
158,-152.49974835963474,27
159,-151.47522562094605,27
160,-131.81811648832237,27
161,-207.43637393815882,27
162,-124.51685493069888,27
163,-290.07848812214104,27
164,-142.6634582311412,27
165,-176.2231042589176,28
166,-147.75846830196636,28
167,-136.44343559127137,28
168,-132.95863751108888,28
169,-344.01430249666197,28
170,-146.35793666209702,28
171,-166.72190724740818,28
172,-130.35611780598532,29
173,-233.86210346925375,29
174,-149.50139495460462,29
175,-171.91203491837064,29
176,-160.2212607574652,29
177,-106.75299039654537,29
178,-110.67493643680235,30
179,-112.8125283070389,30
180,-179.83875738642905,30
181,-113.60196278524647,30
182,-147.22305353749056,30
183,-227.8526255123461,30
184,-187.74821477178546,30
185,-298.59117486784737,31
186,-350.3127280266781,31
187,-318.95459776614007,31
188,-417.02395231922173,31
189,4.391566797966291,31
190,-140.68468951696795,31
191,-324.50253172791525,32
192,-248.60567215928154,32
193,-54.20708858917904,32
194,13.464153046625313,32
195,-92.47771675921834,32
196,-130.8437667206466,32
197,-272.08710166836886,33
198,-231.0471108801911,33
199,-88.44157398724649,33
200,-361.33526981668393,33
201,-330.7511226305699,33
202,31.94069456831761,34
203,-376.68898231580914,34
204,-137.0742480177434,34
205,-68.09117528198453,34
206,-239.49614737219025,34
207,-111.82023038337942,34
208,-161.05615057640472,35
209,-508.3718695843414,35
210,-113.44159120970549,35
211,-367.6877190947215,35
212,-321.7894145553283,35
213,-209.44717859680645,35
214,-379.0503405104564,35
215,-409.7704383009547,36
216,-109.08652725833826,36
217,-77.6772703078395,36
218,-439.5186587832497,36
219,-34.76131144575065,36
220,-539.9268458713602,36
221,-329.68560745630725,37
222,-371.7277432386586,37
223,-41.96838369628784,37
224,-88.750955426437,37
225,-100.26033702904263,37
226,-126.36226487408753,37
227,-230.95672272835026,38
228,-806.221070391986,38
229,-299.04886743511486,38
230,-283.81841558729957,38
231,-239.0668953763771,38
232,-380.6611015809885,38
233,-216.8563662104561,39
234,-198.85331659393927,39
235,-361.9556127798328,39
236,-224.19896995372594,39
237,-130.83273325419856,39
238,-342.0218387346769,39
239,-152.92239825907217,40
240,-206.7465673107068,40
241,-198.45741879691502,40
242,-230.79356107937585,40
243,-236.61434793802013,40
244,-134.22873179917838,40
245,-263.23125923691964,41
246,-193.01760332954404,41
247,-121.48608740765413,41
248,-323.1194639344511,41
249,-122.16594755978949,41
250,-89.5777945175692,42
251,-85.12006241908108,42
252,-156.48179214093545,42
253,-155.10303241995535,42
254,-386.3779169463725,42
255,-221.47822963322557,42
256,-30.989323324551222,43
257,-285.9812153627205,43
258,-401.55349067284607,43
259,-452.3890666080254,43
260,-475.81581809622105,43
261,-55.19603396288363,44
262,-377.29646138885937,44
263,-72.15799747368183,44
264,-117.12665140542059,44
265,-301.81891649239833,44
266,-88.6468247432316,44
267,-388.52594084248267,45
268,-211.668999892738,45
269,-370.6476486977882,45
270,-203.61530037531568,45
271,-74.06080232154243,45
272,-558.7830986232855,46
273,-229.3781717044116,46
274,-92.22968865973439,46
275,-273.63850240334733,46
276,-324.9151248381413,46
277,-378.8699527117867,47
278,-401.0032153978637,47
279,-95.2427991938826,47
280,-40.593909107740345,47
281,-114.13266958480347,47
282,-194.78151383539875,48
283,-365.79606524465567,48
284,-242.8579855243806,48
285,-404.7418846280163,48
286,-450.9534505725876,49
287,-112.81045838537386,49
