episode,return,update
1,-200.49680840719708,1
2,-131.41932465434078,1
3,-89.49548660409229,1
4,-321.4740617080987,1
5,-148.2725322448951,1
6,-109.77167038690095,1
7,-275.7584754013743,1
8,-235.49557496124064,1
9,-102.39152457842657,1
10,-417.4424056795971,1
11,-104.18346130301966,1
12,-177.26788314979774,2
13,-99.4922818977655,2
14,-149.82145763347728,2
15,-96.80822002807828,2
16,-484.04061451011626,2
17,-116.82257824770545,2
18,-342.99005121002733,2
19,-166.80885027537784,2
20,-112.14027795562376,2
21,-323.97564850458457,2
22,-103.49591108046025,2
23,-58.99305842032487,2
24,-367.0480629376693,3
25,-156.45264449830225,3
26,-223.48823107113185,3
27,-355.76449029881843,3
28,-228.52813648918314,3
29,-84.73277804245757,3
30,-302.07333337142734,3
31,-222.7045108613876,3
32,-169.30231969301616,3
33,-121.4592124106501,3
34,-125.51040825643169,4
35,-85.83702067445743,4
36,-318.4265617659694,4
37,-443.87586364852973,4
38,-148.25476925764318,4
39,-99.3964634472012,4
40,-156.14415153780027,4
41,-90.23940934389945,4
42,-128.55840453906185,4
43,-134.27830478728686,4
44,-179.4168082403911,4
45,-50.95722181508147,4
46,-240.59691970261161,4
47,-78.44351679109397,5
48,-124.69967088520585,5
49,-130.70032474300726,5
50,-228.58857646920586,5
51,-243.58983794491814,5
52,-154.00677571711313,5
53,-134.4808822616185,5
54,-144.9020599230958,5
55,-90.74720368365884,5
56,-101.16824875599018,5
57,-219.14081406214834,5
58,-156.45712854636287,5
59,-134.39282983092752,5
60,19.39287366086917,6
61,-139.66416458249853,6
62,-83.74801448245766,6
63,-352.123334314995,6
64,-165.70238636861194,6
65,-124.31302594768208,6
66,-117.64669840385453,6
67,-121.6544283977075,6
68,-192.74453739502218,6
69,-123.54464320250764,6
70,-152.1519230581894,6
71,-179.20187277934855,6
72,-109.38979556469943,6
73,-289.98480063069235,7
74,-116.84260317045869,7
75,-203.07144668317306,7
76,-206.71080780166244,7
77,-357.99880302784163,7
78,-361.04280950656624,7
79,-129.77781112125444,7
80,-185.37558718934105,7
81,130.3108537851791,8
82,-71.05146485370202,8
83,-216.50307080936938,8
84,-16.484308768951266,8
85,-130.33992806513746,8
86,-175.7835104548103,9
87,-6.517124315084985,9
88,-354.0515002421134,9
89,-143.66333064790595,9
90,-82.61110367036582,9
91,-370.6778034785451,9
92,-354.4999565538012,9
93,-285.35885797525646,9
94,-106.00027156531173,9
95,-223.68845105079845,9
96,-131.47964355684172,9
97,-297.75488653431375,9
98,-197.1520400850709,10
99,-244.54688344555623,10
100,-423.6363633709335,10
101,-105.09652990929871,10
102,-358.2526183920079,10
103,-108.86554198689603,10
104,-112.86057075741877,10
105,-152.2867059924741,10
106,-152.4248370858056,10
107,-106.2047976832545,10
108,-138.08629515292444,10
109,-271.6741173103254,10
110,-128.01391956689122,10
111,-210.69734139998596,11
112,-210.69861512125513,11
113,-134.42165187728972,11
114,-83.16480073234607,11
115,-180.5657015985713,11
116,-304.0805222497185,11
117,-90.69202967213337,11
118,-162.72111405143974,11
119,-181.37005306149138,11
120,-176.55278174743728,11
121,-125.96538711762321,11
122,-152.78907422048428,11
123,-183.64990264983174,12
124,-129.22744346488918,12
125,-130.41904463286727,12
126,44.849015815286094,12
127,-115.58201447976553,12
128,-151.92868146577274,12
129,-119.96317593238962,12
130,-134.9095807305888,12
131,-157.56885423402738,12
132,-236.97436699138848,12
133,-134.39854308185133,12
134,9.470184663138525,12
135,-138.0572499217591,12
136,-145.85177277200893,13
137,-113.76122987753229,13
138,-167.32860328217595,13
139,-122.14623640702936,13
140,-270.8922834410881,13
141,-330.349017548676,13
142,-418.8591606012643,13
143,-100.19620047281742,13
144,-172.90142017545372,13
145,-176.9460813848208,13
146,-367.5972053283375,13
147,-99.6328985668415,14
148,-255.82589037840467,14
149,-205.9298800895539,14
150,-285.2428749084705,14
151,-95.31404987374609,14
152,-166.02865168642245,14
153,-109.68443880446716,14
154,-128.57754108877603,14
155,-178.43003340716274,14
156,-327.3241509500382,14
157,-162.7157315760042,14
158,-172.0832551144273,15
159,-112.60446070822942,15
160,-258.9465706775319,15
161,-121.75326544489077,15
162,-97.92922831656605,15
163,-84.06368781135569,15
164,-72.37664328922816,15
165,-86.25071760714694,15
166,-275.1097167666942,15
167,-122.36675329164697,15
168,-119.91784571871891,15
169,-190.31083537784548,16
170,-88.24147683853607,16
171,-309.73334137641507,16
172,-98.17005299456596,16
173,-367.9422817625585,16
174,-200.6633130394011,16
175,-194.68468461370867,16
176,-366.63681218228095,16
177,-381.9122521392564,16
178,-262.807220847349,16
179,-207.7097005966616,16
180,-199.5985482653877,17
181,-98.02474118811807,17
182,-421.9431962823127,17
183,-152.7313850575077,17
184,-142.42461867587207,17
185,-169.8788921160328,17
186,-90.60079821043672,17
187,-87.24741793858503,17
188,-254.53203490128357,17
189,-180.12882548566796,17
190,-105.82505948463772,17
191,-325.00181351228923,17
192,-308.5305801452642,18
193,-115.21724283543391,18
194,-85.96646364182818,18
195,-3.3826378559565597,18
196,-188.13951680598305,18
197,-282.01544350432334,18
198,-461.1749361670113,18
199,-156.1429645511226,18
200,-241.29993527036902,18
201,-153.6586290805322,18
202,-183.74082132129308,18
203,-379.7038247434725,19
204,-92.85034445687573,19
205,-132.76722709193132,19
206,-561.5031005937258,19
207,-67.13875969156423,19
208,-99.43504199993474,19
209,-272.50468348210177,19
210,-86.53101402465253,19
211,-253.87416444135982,19
212,-217.16484968202678,19
213,-262.57578133062475,19
214,-129.80178609644577,19
215,-408.80680684310374,20
216,-513.9701036633012,20
217,-73.24487752132453,20
218,-294.35053159736685,20
219,-108.16890982962344,20
220,-420.4260135882479,20
221,-86.39998588787327,20
222,-300.9925330145742,20
223,-111.05582949230764,20
224,-91.08698280296097,20
225,-494.3067448048095,20
226,-310.9749235304247,21
227,-175.96547959840078,21
228,-296.0183906922775,21
229,-12.047306309518731,21
230,-327.8386933460461,21
231,-145.85470107095466,21
232,-576.4584269612033,21
233,-418.5506998295315,21
234,-254.35677168498492,21
235,-311.2975785879287,21
236,-130.97834359680638,22
237,-555.3381234955497,22
238,-389.5623930075044,22
239,-294.477443261354,22
240,-520.0579465634569,22
241,-115.0128402956839,22
242,-63.71065811274944,22
243,-437.19025405982313,22
244,-418.55732674294336,22
245,-365.95511373055336,22
246,-430.38014296946596,22
247,-83.69155267711878,23
248,-210.87934071003457,23
249,-269.7424239946766,23
250,-85.79934161684172,23
251,-537.5331024986585,23
252,-38.32781775831206,23
253,-284.2905279652884,23
254,-365.5258476187168,23
255,-73.1920170235976,23
256,-572.6496663532645,24
257,-107.30501593714567,24
258,-295.1947430543933,24
259,-329.0017541463959,24
260,-364.15774103316846,24
261,-184.57585700969395,24
262,-310.33397423932126,24
263,-123.76874074324732,24
264,-26.673603128722974,24
265,-237.56333005617927,24
266,19.045962335734785,24
267,-91.9831229741409,24
268,-334.4852296932115,25
269,-600.0563174257805,25
270,-67.4785215451567,25
271,-100.65112061806241,25
272,-561.7201811987562,25
273,-257.0470787701215,25
274,-150.7258917327662,25
275,-354.8451610158557,25
276,-233.73686011542452,25
277,-473.695469980316,26
278,-65.3777408823839,26
279,-233.50193761757967,26
280,-77.98032922889833,26
281,-229.51544817503134,26
282,-67.20989741373347,26
283,-55.861047664584895,26
284,-108.23997929408628,26
285,-256.05786443360114,26
286,-370.4259904171605,26
