episode,return,update
1,-191.698402776413,1
2,-118.86290215114177,1
3,-120.66207473944148,1
4,-250.78467036895032,1
5,-102.6489177863196,1
6,-108.86245424338799,2
7,-231.12381109327546,2
8,-215.01687688121848,2
9,-105.7126808233275,2
10,-415.6120396803661,2
11,-84.84922055016429,2
12,-135.72860642739974,3
13,-126.83413382091925,3
14,-141.2998183279936,3
15,-84.6812211955703,3
16,-352.6772037859971,3
17,-92.0715125306502,3
18,-275.952931363178,4
19,-96.90923074504784,4
20,-83.6648564629953,4
21,-201.1922403672674,4
22,-142.34218034090742,4
23,-92.62892308501455,4
24,-111.33012571318142,5
25,-169.72884038278235,5
26,-212.05767481290175,5
27,-283.0473748260598,5
28,-175.52302109402166,5
29,-74.23194322774226,5
30,-99.57342900416687,6
31,-101.93571152935252,6
32,-129.0073610561193,6
33,-78.02893396789399,6
34,-120.53417389323221,6
35,-186.64052785291625,6
36,-96.21443085223785,7
37,-108.49464524939567,7
38,-90.32738585532402,7
39,-167.78800320266083,7
40,-97.07771297259126,7
41,-76.5071474026412,7
42,-135.61582932168446,8
43,-79.76630061488022,8
44,-273.44772914102055,8
45,-116.26390172163013,8
46,-89.98372638208718,8
47,-63.157656414503734,8
48,-97.87050157501477,9
49,-78.34518499519336,9
50,-131.23715851606258,9
51,-123.72148990665386,9
52,-207.42680647433994,9
53,-68.36485135356736,10
54,-355.2374132408589,10
55,-351.86912595300976,10
56,-249.870712329966,10
57,-118.78692145863002,10
58,-108.67921095643472,10
59,-413.94405550280436,11
60,-57.4597810322716,11
61,-152.97653320867707,11
62,-284.3290538322287,11
63,-301.0274966795097,11
64,-223.7440695496845,12
65,-139.388882856186,12
66,-95.83923575042077,12
67,-151.48864590999057,12
68,-82.18614954046825,12
69,-397.1816773678796,12
70,-258.6082265602141,13
71,-242.90800664175683,13
72,-85.81758535865738,13
73,-105.13614799142204,13
74,-79.8610959538768,13
75,-386.0085152061046,13
76,-292.35623345066364,14
77,-379.8284108130903,14
78,-112.46098131676845,14
79,-225.2957666100083,14
80,-194.4442938242988,15
81,-138.27422158531243,15
82,-189.91282771134908,15
83,-179.86230749305963,15
84,-456.9047103506028,15
85,-395.3790030893607,16
86,-216.37216627692618,16
87,-63.03880254559182,16
88,-284.3399031871236,16
89,-82.41728036678217,16
90,-41.607938526618895,17
91,-152.40807653143645,17
92,-284.21426702460957,17
93,-418.2120045061441,17
94,-196.33813936357063,18
95,-113.9143315231715,18
96,-299.44046856297507,18
97,-274.829225161444,18
98,-348.6239842893367,18
99,-121.13907052983019,19
100,-265.2639223676123,19
101,-142.19011003238217,19
102,-111.11600142123254,19
103,-121.69676088572399,19
104,-263.896554687659,20
105,-128.8358204121975,20
106,-118.73184086881226,20
107,-294.1481235365452,20
108,-474.5908880850337,20
109,-411.7426040074481,20
110,-335.8131840709841,20
111,-508.0750232055174,21
112,-453.12233395326245,21
113,-371.33371535927546,21
114,-146.99701030595148,21
115,-342.591479242103,21
116,-471.6605916448007,22
117,-224.4941505891116,22
118,-190.09509997165634,22
119,-312.4240705588742,22
120,-3.781661539356932,22
121,-344.37190394045894,23
122,-183.49505045428134,23
123,-225.4360442214179,23
124,-301.86813799275967,23
125,-396.0649391758337,23
126,-65.6567922042283,23
127,-107.75543224809095,23
128,-105.87449763587225,24
129,-109.6875952956316,24
130,-230.3161898811122,24
