episode,return,update
1,-191.698402776413,1
2,-118.86290215114177,1
3,-120.66207473944148,1
4,-250.78467036895032,1
5,-102.6489177863196,1
6,-108.86245424338799,2
7,-268.9248528129872,2
8,-234.46543857280474,2
9,-91.77135744899162,2
10,-414.27527602865337,2
11,-90.52914653032002,2
12,-94.6357588508962,3
13,-101.62975128476866,3
14,-87.03909539466903,3
15,-81.58903385936982,3
16,-372.2323782124904,3
17,-100.68863175938208,3
18,-298.19873352061734,4
19,-94.59125678811927,4
20,-125.83340532363658,4
21,-286.94142673003404,4
22,-112.36055573289327,4
23,-129.621949389931,4
24,-210.99174776667576,5
25,-147.74978404130212,5
26,-223.09729232230427,5
27,-360.2215711838469,5
28,-115.98913532977194,5
29,-96.33875809740834,5
30,8.858529327221817,6
31,-171.71193035324592,6
32,-209.28756304241313,6
33,-55.50360252155231,6
34,-129.81376371910935,6
35,-109.04529449325162,7
36,-90.71101821931484,7
37,-86.42201428037684,7
38,-117.92678128079638,7
39,-119.52902250831379,7
40,-126.67569468531927,7
41,-144.24795080906807,8
42,-69.32568203745544,8
43,-200.89422933062565,8
44,-328.8629368871376,8
45,-127.25216017757975,8
46,-168.54016458522437,8
47,-108.1897693935365,9
48,-328.80452785764487,9
49,-426.85722592482466,9
50,-221.24344885535643,9
51,-102.3112779079964,10
52,-173.21101941427176,10
53,-268.42702759491175,10
54,-314.2932273591682,10
55,-262.4337938202584,10
56,-611.0593461565325,11
57,-271.26130388324106,11
58,-390.5122574517545,11
59,-457.4973522771042,11
60,-3.2145286912810747,12
61,-429.9791482207639,12
62,-296.96664995879786,12
63,-414.8623958717976,12
64,-255.208859184205,13
65,-142.9275089624786,13
66,-296.83555812945957,13
67,-74.01633623584418,13
68,-165.20139890198243,13
69,-179.72552391346366,14
70,-283.71942148632513,14
71,-439.86564233755837,14
72,-45.820280180441245,14
73,-48.93525910249119,14
74,-99.2432660136033,14
75,-164.12394296711489,15
76,-370.46461811998023,15
77,-73.96299471466983,15
78,-384.04433090582137,15
79,-83.12480435586295,15
80,-260.4452323025521,16
81,14.674045744917379,16
82,-249.80971649680146,16
83,-469.0782247482547,16
84,-476.92659127993636,16
85,-176.2591187683061,17
86,-367.389490541588,17
87,-263.957132646817,17
88,-112.80116315166542,17
89,-434.7028559763741,17
90,-186.427837595491,17
91,-311.0614252525809,18
92,-36.58834832787019,18
93,-148.31462625947756,18
94,-307.3243988121926,18
95,-210.5512079958779,19
96,-400.618742019211,19
97,-191.71031403638779,19
98,-251.18500327474894,19
99,-93.86318355293217,19
100,-138.2285415058467,19
101,2.2694807769858443,20
102,-270.3972660743638,20
103,-107.16132435930201,20
104,-194.75186877370118,20
105,-141.97193989853065,20
106,-76.45514588531641,20
107,-46.85460024330752,21
108,-391.94758369582286,21
109,-281.5420737099291,21
110,-333.21017401217773,21
111,-220.27013536255572,21
112,-360.40263147702876,22
113,-121.68716160037641,22
114,-83.6831159540401,22
115,-274.9778632838139,22
116,-106.36506084070655,22
117,-100.96047083002186,23
118,-67.3658196812643,23
119,-136.3829324109517,23
120,-470.638052841149,23
121,-369.72164549860645,23
122,-353.1558925403341,24
123,-231.26524583088,24
124,-162.33890198535354,24
125,-151.9007232045922,24
126,-100.14773972506354,24
127,-70.4946664642544,24
128,-359.9445984740417,25
129,-158.87228533772043,25
130,-75.29737157305385,25
