episode,return,update
1,-430.49034169324176,1
2,-87.14012319425153,1
3,-122.42885763499422,1
4,-114.30929951518894,1
5,-112.09449999053811,1
6,-524.0775678349935,1
7,-255.31442394389458,1
8,-488.1988243332997,1
9,-105.74240896669946,1
10,-325.8237906116634,1
11,-235.70643662459713,1
12,-95.20643254628622,1
13,-286.9813379017509,1
14,-190.13868465957813,1
15,-79.02403396622056,1
16,-152.12476996575091,1
17,-334.5732908476125,1
18,-344.0246794789185,1
19,-369.36851793231176,1
20,-181.64293159535964,1
21,-301.0179150200278,1
22,-472.77755189966626,2
23,-79.40646465737859,2
24,-157.76005891511517,2
25,-545.836594336223,2
26,-240.97746089737555,2
27,-154.45300041545036,2
28,-161.02216314067283,2
29,-253.02877503222592,2
30,-357.27731596429715,2
31,-166.52005428027005,2
32,-206.73811110747502,2
33,-390.3231794485715,2
34,-294.29450881502385,2
35,-108.33770565426796,2
36,-26.21270329655026,2
37,-124.35499429190038,2
38,-213.81554206853818,2
39,-120.10958390737234,2
40,-88.15802548636378,2
41,-146.06434880906082,2
42,-130.82563141415403,2
43,-159.51418123124222,3
44,-189.5867635956805,3
45,-45.59869473019658,3
46,-126.61743736929449,3
47,-96.71752317510646,3
48,-97.45008441223005,3
49,-116.33606700642235,3
50,-156.785566657781,3
51,-77.06316928265932,3
52,-94.09646687831159,3
53,-84.6413239917832,3
54,-203.398331267313,3
55,-81.78045889210355,3
56,-36.08966514291075,3
57,-185.096875870825,3
58,-95.53501421830698,3
59,-156.596343973266,3
60,-63.39832414974751,3
61,-102.98535242711846,3
62,-88.28102227423489,3
63,-125.42515732777085,3
64,-50.66105125983489,3
65,-203.86426735526868,4
66,-79.79027661637292,4
67,-146.91683495055298,4
68,-87.40648098038369,4
69,-112.00074822593649,4
70,-177.2021671534822,4
71,-226.7065080479437,4
72,-76.845370703295,4
73,-96.71494613365687,4
74,-80.00316233636156,4
75,-269.5394190179986,4
76,-306.74618129367065,4
77,-125.30950348240319,4
78,-55.579271456504415,4
79,-81.12730976412,4
80,-272.25534788441325,4
81,-93.39416065140493,4
82,-54.90728413960603,4
83,-158.14725610468275,4
84,-122.97132817564523,4
85,-120.21833193140733,4
86,-143.73270720426243,4
87,-209.3164357228232,4
88,-118.83735290971323,5
89,-227.4018008105912,5
90,-1.3578147970570456,5
91,-147.9780920349709,5
92,-304.8918366880316,5
93,-127.61350637925443,5
94,-289.3066340672391,5
95,-198.67226303062318,5
96,-236.3060602609782,5
97,-87.88750944066389,5
98,-281.49444072137305,5
99,-109.81858706777994,5
100,-158.66288549200866,5
101,-223.34106405380984,5
102,-271.40424272805296,5
103,-48.20340538552132,5
104,-71.43455171450351,5
105,-155.8885234869408,5
106,-71.72896606207829,5
107,-358.8373634572855,6
108,-140.92738126936092,6
109,-322.3477334861776,6
110,-244.18502132675758,6
111,-365.2976079774634,6
112,-431.3607784106064,6
113,-305.9850874192423,6
114,-204.23162353011548,6
115,-400.0393029371166,6
116,-341.88339821097975,6
117,-95.74062580290114,6
118,-187.37830447727515,6
119,-335.6960359213274,6
120,-272.9375112726217,6
121,-304.3167531192727,6
122,-21.70705469448758,6
123,-364.04278710580746,6
124,-279.44183674224394,6
125,-344.6378776675365,6
126,-8.96951044680334,7
127,-42.96492547090169,7
128,-232.44055583942526,7
129,-123.4564646802075,7
130,-46.20999404253378,7
131,-122.39721505975692,7
132,-139.4905393083002,7
133,-357.8643195051071,7
134,-258.3725678323197,7
135,-62.10631495235148,7
136,-85.72431681022958,7
137,-387.7556361644027,7
138,-146.24069906690144,7
139,-252.96496759577633,7
140,-271.5308271136398,7
141,-214.64990544401962,7
142,-258.1578345850925,7
143,-223.22303665506723,7
144,-111.00047325218836,7
145,-47.02476022225454,7
146,-106.61308666324614,7
147,-134.87974017959343,8
148,-117.27497634387511,8
149,-174.98717326351158,8
150,-250.06482895540228,8
151,-74.5517056549894,8
152,-47.76602883806022,8
153,-266.8492609039684,8
154,-126.33158883078414,8
155,-123.3782764709211,8
156,-134.53810500486716,8
157,-301.2164757760116,8
158,-110.93681027728627,8
159,-406.7298752078408,8
160,-47.581318820013195,8
161,-56.76713480859016,8
162,-149.84297848862943,8
163,-132.63432771848153,8
164,-253.23127722239417,8
165,-96.7846546727185,9
166,-64.33986005311816,9
167,-146.3138634313354,9
168,-128.67710291142618,9
169,-86.49830919420229,9
170,-121.30668102068586,9
171,-124.55711246449756,9
172,-153.23586611777338,9
173,-113.8378338292938,9
174,-317.91862535319285,9
175,-104.37535150672534,9
176,-124.86229086736273,9
177,-98.62479431186851,9
178,-120.07261969345927,9
179,-97.64973401366692,9
180,-119.70188982608715,9
181,-22.710039080609533,9
182,-151.31427520557395,9
183,-267.11875346395334,9
184,-48.518648050334974,9
185,-88.79479822351327,10
186,-64.6528376981647,10
187,2.538734798469065,10
188,-73.79459083371319,10
189,-6.127139325828836,10
190,-74.27111312758947,10
191,-134.04975750715641,10
192,-89.81110891800432,10
193,-282.72681030801255,10
194,-101.07771422471033,10
195,-77.5430917387242,10
196,-87.46569913602333,10
197,-134.94541350974706,10
198,-104.53555328828182,10
199,-160.2375096244579,10
200,-290.4105956665501,10
201,-15.847090920188393,10
202,-83.64424911412317,10
203,-205.58085296758694,10
204,-93.8069578766611,10
205,-57.424546237162936,11
206,-140.35428356788515,11
207,-18.009690257787568,11
208,-81.431282296259,11
209,-296.02091070945255,11
210,-47.235811543647365,11
211,-203.23606837966844,11
212,-235.6311194175805,11
213,-66.8852425552237,11
214,-51.92575324918574,11
215,-162.56775678776427,11
216,-96.63033391227894,11
217,-58.75931028621362,11
218,-52.628566413444176,11
219,-29.268123050041595,11
220,-62.68258537522512,11
221,-408.1659780293029,11
222,-73.20961318018138,11
223,-204.67432163467777,11
224,-44.56532071729991,11
225,-146.3729741907897,11
226,-84.89574857923887,12
227,-43.58303688554255,12
228,-252.21593436469988,12
229,-73.54102001756657,12
230,-77.09805487975652,12
231,-95.7721667891838,12
232,-115.29774635519038,12
233,25.88003064263438,12
234,-40.969844322202164,12
235,-56.338279509672496,12
236,-72.11449199482773,13
237,-1.0760151073048405,13
238,-173.2389815591986,13
239,-104.03345667115394,13
240,-130.2858245860752,13
241,-299.52966315378933,13
242,0.9385569408325836,13
243,-73.21419129755655,13
244,-71.38613783244693,13
245,-78.03075180217853,13
246,-153.72617959734038,13
247,-75.07473958349104,13
248,-294.95476885554814,13
249,-107.29569229388021,13
250,-92.32406880706876,13
251,-88.79131777602493,13
252,0.19242232642656631,13
253,-149.7667226861431,13
254,-59.4669510565995,13
255,-73.38399998034342,13
256,-53.26470207470186,14
257,-102.39974330321742,14
258,-86.74760282607662,14
259,-191.11674472822665,14
260,-128.42020808847133,14
261,-68.40528691440157,14
262,-164.11499206359287,14
263,10.427403825360912,14
264,-39.0249235991413,14
265,-42.0801287413347,14
266,21.108027655632497,14
267,-79.85377989108936,14
268,-21.089653026044076,14
269,-3.128144418975907,14
270,-31.393412242444356,14
271,-178.88765734186677,14
272,31.255332897713174,14
273,-84.01652928281152,14
274,-102.40066652482767,14
275,-26.055839248910203,15
276,-231.3665911326041,15
277,-42.97368397709114,15
278,-79.08954648546023,15
279,-11.913319901972642,15
280,-59.48198103765149,15
281,-82.27886662767693,15
282,-99.09693859657638,15
283,-83.19204610409054,15
284,-141.30461877948926,15
285,-83.58143334189403,15
286,-197.0371170814067,15
287,2.470470987666431,15
288,-34.166675925663654,15
289,-164.72242681861417,16
290,-90.91563708383946,16
291,-183.70004993310437,16
292,-331.87110165685664,16
293,-121.80816654777097,16
294,-32.83763612691462,16
295,-264.39250885976594,16
296,-25.60730171348291,16
297,-113.42670111056843,16
298,-286.8233855461642,17
299,-247.87286123058198,17
300,-49.997476621398945,17
301,-289.7465154518289,17
302,-332.71393494742483,17
303,-27.71760976840436,17
304,-154.0041674557279,17
305,-40.448041239386086,17
306,-195.0508944682234,17
307,-242.95435685318668,17
308,-38.73429393743318,17
309,-69.17032547156884,17
310,-211.0999670350309,17
311,1.3784767359988308,18
312,-72.10232632230402,18
313,-26.83188488687506,18
314,-1.1201230100202224,18
315,-33.16148996743679,18
316,-44.25125655327108,18
317,-91.78630832647524,18
318,-23.544346197871874,18
319,-99.90584754404202,18
320,-69.51485847038109,18
321,-29.4848734992746,18
322,-88.26157275521457,18
323,-238.62146283131867,18
324,-64.58549955969448,18
325,-5.712842479680901,18
326,-28.658057798104807,18
327,-38.88546466398739,19
328,-0.7744179290093882,19
329,-22.39827672656719,19
330,-43.958216682501515,19
331,-89.93503056884545,19
332,14.852578437012923,19
333,-229.62986786717812,19
334,8.329879028402118,19
335,-80.79194418106843,19
336,-5.308593059872621,19
337,-140.88709161257407,19
338,-22.094407511583825,20
339,-75.47510939370471,20
340,-37.28497736716541,20
341,-14.150063266310141,20
342,74.26550751299527,20
343,47.67212488825322,20
344,-13.296161208621527,20
345,31.45519684394553,21
346,-186.78316018281703,21
347,-138.42307228340508,21
348,-96.19937043571686,21
349,-45.82616840530835,21
350,-319.58259707334344,21
351,105.7837560035934,22
352,241.97142952163765,22
353,160.767732978089,23
354,1.6219454164160112,23
355,-201.22354836286735,23
356,-18.322527665153004,23
357,-200.80885685883987,23
358,-48.84202180781008,23
359,-134.4992708783369,23
360,80.4704190836155,24
361,-64.28813919501903,24
362,-92.64329819243181,24
363,30.377785793723575,24
364,153.15983468085497,24
365,-33.2154251938929,24
366,189.18318945948505,25
367,3.067290802465891,25
368,-11.39425893825036,25
369,-26.17588378905029,25
370,145.2737016063372,26
371,-97.08924225316207,26
372,-35.45044458802586,26
373,-108.23943139758889,26
374,150.8791134180887,26
375,-26.23339454108914,27
376,82.1123059152819,27
377,-89.46109850598235,27
378,-17.338287024542907,27
379,141.6639121767863,28
380,-120.84613979299203,28
381,133.93038901825153,29
382,-46.648303708578126,29
383,128.77756493921248,29
384,-107.1853516502096,29
385,21.40690376779969,30
386,139.88016483716663,30
387,83.63227446047858,31
388,120.82411928615483,31
389,232.99465064236978,31
390,-26.84362812177713,31
391,-45.11235307447062,32
392,-102.05359845311169,32
393,92.21706083166895,32
394,-20.804751755418607,32
395,240.93639449533725,33
396,-22.150356664694343,33
397,7.191899441035787,33
398,39.487521181774014,33
399,-7.153296463631079,33
400,123.91510400835438,34
401,29.511118207870528,34
402,109.99159545331364,34
403,101.14030730302608,35
404,-33.96768604818651,35
405,135.8913299961721,36
406,183.2890070643793,36
407,116.76650426248214,36
408,209.9821512560039,37
409,108.51642683559639,37
410,-43.1246534293786,38
411,-78.50049275242657,38
412,154.5965900358403,38
413,-65.66366351726633,38
414,197.38566361139587,38
415,220.00979363978823,39
416,189.16344476250092,39
417,172.06599154826495,39
418,40.995394893840455,39
419,-31.001831929736127,39
420,18.949052172470005,40
421,-10.440668429974323,40
422,-105.88408583795965,40
423,-40.54129682861142,40
424,229.94392682341476,40
425,222.74932716182775,40
426,204.36417913522166,41
427,-24.267653726119462,41
428,-10.239277183247466,41
429,236.62088615803773,41
430,213.03070182240248,41
431,282.802008269852,42
432,-12.284974964560064,42
433,242.92789674168313,42
434,203.58788148954406,42
435,239.2291382367817,42
436,224.58904253033754,43
437,168.9210959226076,43
438,207.57009172615233,43
439,209.78612551121591,43
440,232.81980201361043,43
441,233.13229478771822,44
442,250.1442388972922,44
443,257.26051564099816,44
444,34.84395006923347,44
445,206.44286467682997,44
446,-14.039060618837595,44
447,222.18842282955887,45
448,246.2589435822915,45
449,264.79649217720737,45
450,239.79281537633318,45
451,21.680193009060858,45
452,246.80747530703195,45
453,253.36981431160683,46
454,-15.770839982693658,46
455,291.1067686937968,46
456,38.93882738108388,46
457,-190.90250526148515,46
458,227.1769888080983,46
459,195.78401980863958,46
460,247.44751005685512,47
461,252.24080168868335,47
462,294.56884761863864,47
463,209.74411096531338,47
464,239.6485932203271,47
465,274.0013768944638,47
466,44.21953995173192,48
467,263.2505035727065,48
468,-33.373986590946075,48
469,214.87227046439335,48
470,262.7200055925865,48
471,257.1700400867178,48
472,237.2874029284125,48
473,214.67322643155083,49
474,11.248019468611588,49
475,301.3488819217341,49
476,197.83294990579117,49
477,232.35656432782002,49
478,229.6960868740232,50
479,193.35568926726373,50
480,225.14953740061597,50
481,-30.18674534549058,50
482,249.18445451561558,50
483,241.87072610784688,50
484,194.7801853608762,51
485,200.57873725864346,51
486,227.97522364414152,51
487,250.24957711620792,51
488,279.8706533770893,51
489,258.4596622084379,51
490,267.3144755234988,52
491,241.18740727455705,52
492,-1.5592164081826212,52
493,247.7436035491462,52
494,218.09577018994284,52
495,25.938101282977925,52
496,223.28652917948622,52
497,216.1396734690444,53
498,240.10840967232772,53
499,256.8343149000327,53
500,221.2748801786441,53
501,213.17901110337908,53
502,268.42700014980767,53
503,267.22769475727284,54
504,264.571688116019,54
505,267.31392604028025,54
506,249.2644256599416,54
507,32.07949158532105,54
508,232.4541486196106,54
509,304.9987754160403,55
510,257.813075330684,55
511,249.82531728662545,55
512,262.1660981932215,55
513,225.88636218048157,55
514,-132.49081940311166,55
515,189.00312318672698,56
516,281.8250360155423,56
517,262.71070797855367,56
518,251.70387319549812,56
519,238.29455569432818,56
520,241.86244267194795,56
521,17.67604107720301,57
522,275.82323724402875,57
523,233.81700986466083,57
524,265.8174713464864,57
525,185.1857773755348,57
526,244.1657657683158,57
527,217.249951456221,58
528,262.2091968938544,58
529,259.4764935247148,58
530,271.86785062979453,58
531,248.07849539390946,58
532,266.15868187458574,59
533,252.6063004426657,59
534,253.7997524432299,59
535,235.90435848242296,59
536,245.948858495646,59
537,285.0664473104407,59
538,270.07700286073066,59
539,252.09379285483635,60
540,256.95858013969314,60
541,272.5187619379051,60
542,249.53359949503528,60
543,243.7279330576861,60
544,244.65053640584932,60
