episode,return,update
1,-185.56010000989073,1
2,-188.16867103394372,1
3,-260.9680293726987,1
4,-191.8544555480355,1
5,-184.28088948998084,1
6,-218.92030244258171,1
7,-182.84174203700482,1
8,-232.06272948440727,1
9,-178.24754994829246,1
10,-176.0827288628809,1
11,-180.43870970528295,1
12,-184.18670809607434,1
13,-188.27045938707622,1
14,-186.2497214065337,1
15,-207.90441821251872,1
16,-226.21332348237425,1
17,-212.5683990671792,1
18,-200.708638601514,1
19,-183.31237464096583,1
20,-189.4540054070539,1
21,-160.35257793877435,1
22,-200.7971391372718,1
23,-197.13013159193017,1
24,-234.66839601558468,2
25,-210.25237995918175,2
26,-202.81768954180012,2
27,-248.00585873798644,2
28,-246.93443580010614,2
29,-183.47265057231354,2
30,-210.61206070361456,2
31,-211.13509855344992,2
32,-187.35672548419436,2
33,-281.1236781443113,2
34,-200.56539211828772,2
35,-187.8943698696322,2
36,-180.99181499411728,2
37,-183.83790190085952,2
38,-203.7289740835908,2
39,-185.99767501208993,2
40,-255.13316016078898,2
41,-187.87997316239955,2
42,-200.85827545974473,2
43,-169.88440795688652,2
44,-211.21919633039573,2
45,-179.35373675863775,2
46,-191.033431305226,2
47,-213.95589626631866,3
48,-235.3328488855875,3
49,-214.8157811494433,3
50,-243.2439448086448,3
51,-242.39874860811352,3
52,-197.45657600272105,3
53,-207.2006801243325,3
54,-185.82831999259835,3
55,-180.43493551864864,3
56,-253.27420875820144,3
57,-189.86222380915447,3
58,-181.5226288336642,3
59,-233.85639478088737,3
60,-170.0453413905845,3
61,-244.06436493926407,3
62,-238.57963718175805,3
63,-264.30006948703556,3
64,-179.64049235156608,3
65,-257.1929134425388,3
66,-180.91850687489486,3
67,-172.925352755455,3
68,-202.35919521929773,3
69,-177.76034794184915,4
70,-181.89315378594603,4
71,-258.35771613324175,4
72,-178.37037892776573,4
73,-236.97029034265066,4
74,-171.50529644911654,4
75,-245.20736752249258,4
76,-164.85044480424392,4
77,-226.33407604640962,4
78,-181.21569555408044,4
79,-195.9023065116371,4
80,-237.72376131861057,4
81,-213.33936400011052,4
82,-213.51717035986684,4
83,-186.12722635112286,4
84,-115.39619177784746,5
85,-193.7869298086331,5
86,-242.50007114676302,5
87,-221.25036758678752,5
88,-143.42553707612075,5
89,-185.56602722634014,5
90,-211.20773931715516,5
91,-223.6589824651196,5
92,-208.98184776237807,5
93,-185.43252103756433,5
94,4.01884734117138,5
95,-254.77420214176647,5
96,-250.97663538877293,5
97,-181.63824892132078,5
98,30.6129368455357,6
99,-156.43751609645278,6
100,4.651714339280886,6
101,-211.40449183416578,6
102,-228.37332144617432,6
103,-182.5328286622241,6
104,-255.22187570061382,6
105,-176.79227823972494,6
106,-210.26637602528388,6
107,-218.5969382048656,6
108,-204.59324549962366,6
109,-203.65705033802172,6
110,-238.56635929889146,6
111,-222.68335073838062,6
112,-238.50439361529132,6
113,-224.0133312346022,6
114,-190.9483896505023,6
115,-104.98693013616736,6
116,-246.89266309735007,7
117,-167.83954002891255,7
118,-234.0587280806805,7
119,4.691733574437961,7
120,-223.34971979882638,7
121,-131.36659248281282,7
122,-240.56133373079328,7
123,-32.147288843420725,7
124,-221.3881627100142,7
125,-243.3566161218466,7
126,-175.86478771831833,7
127,-206.20650407595224,7
128,-224.4910810857093,7
129,-175.00987209575442,7
130,-170.93967637251382,7
131,-213.61558582524336,7
132,-226.2419212327386,8
133,-209.3673888793125,8
134,-245.87571770200708,8
135,-238.55247805068947,8
136,6.511193621787271,8
137,-154.29451548200527,8
138,-281.1020524114951,8
139,-272.0145437728765,8
140,116.11260379814848,8
141,-274.653226712515,8
142,-240.9051716775519,8
143,-91.36798874122444,8
144,-215.7075496559279,8
145,86.94547634898564,8
146,-317.16944451760264,8
147,-288.4347201498605,9
148,-222.99540912952403,9
149,-274.429310215535,9
150,-312.4165757337398,9
151,-215.6575878301517,9
152,-227.8802766222915,9
153,-206.6176755180701,9
154,-251.71421919081314,9
155,-263.5736281116644,9
156,-120.13405930829333,9
157,-355.54499052297683,9
158,-111.11347090452908,10
159,-233.72460995135742,10
160,-159.7601028334684,10
161,-306.6468048532895,10
162,-265.34152324337896,10
163,-171.61826407274827,10
164,-260.184284039595,10
165,-233.4308566876419,10
166,-267.54509667698034,10
167,-89.39880701541645,10
168,-216.80810330754161,10
169,-268.9091129596652,10
170,-272.96583540912195,10
171,-267.6150084257515,10
172,-259.7362067820173,10
173,-257.96624717605295,10
174,-245.27672456939047,11
175,-220.86721227873448,11
176,-233.23271455352182,11
177,-294.30859216206517,11
178,-122.56636413241627,11
179,-241.4073367472367,11
180,-161.86247965541287,11
181,-220.2206155629779,11
182,-242.73380114186213,11
183,-231.4773227274374,11
184,-230.42102309422197,11
185,-241.4541013264581,11
186,-190.2133703351962,11
187,-235.38374429217674,11
188,-102.27433368778715,12
189,-239.65920260435618,12
190,-184.0713854476079,12
191,-263.4376470970667,12
192,-233.16371417457435,12
193,-236.05895712918868,12
194,-204.6697227550807,12
195,-75.30548410378928,12
196,-160.31802053814602,12
197,-283.1741661032545,12
198,-93.07277506040128,12
199,-232.97872011831987,12
200,-246.92938824649988,12
201,-256.4915425910407,12
202,-282.4213529421594,13
203,-254.1400555412822,13
204,-277.3076455934814,13
205,-207.07532550319428,13
206,-244.19409331894343,13
207,-160.17670005523001,13
208,-186.67436959765752,13
209,-240.02369144039199,13
210,-232.14339894234462,13
211,-241.81439540768153,13
212,-56.00612443054193,13
213,-251.23180640761257,13
214,-248.17689180280638,13
215,-264.90872342754847,13
216,-216.33911265768901,13
217,-163.34467292810513,13
218,-262.9938493777039,14
219,-242.9888592587331,14
220,-177.24900856494608,14
221,-184.0375934888081,14
222,-213.5035366134698,14
223,-269.1900166917353,14
224,-265.63502669461826,14
225,-138.27162878289732,14
226,-264.5443279523224,14
227,-252.8595614858255,14
228,-230.24211301658673,14
229,-236.34054480061556,14
230,-223.45217452673603,14
231,-187.37414050211956,14
232,-239.720126508314,15
233,-256.21590678799043,15
234,-249.21875447690877,15
235,-193.0539445481205,15
236,-177.06106129848828,15
237,-294.737343993618,15
238,-219.9699625568445,15
239,-246.27341570619572,15
240,-254.85684172567744,15
241,-242.56863279494806,15
242,-255.97872328461028,15
243,-204.14631562038514,15
244,-262.53919957736275,15
245,-225.5767952754853,15
246,-237.77191056605622,15
247,-207.19968909473047,15
248,-263.7658053157036,15
249,-243.12534806800852,16
250,-248.2571847458314,16
251,-302.68491021760735,16
252,-199.78208233943027,16
253,-225.95237515240893,16
254,-272.61288566316756,16
255,-256.6047146357203,16
256,-265.8224721345663,16
257,-125.26039219722843,16
258,-254.2623689096985,16
259,-259.7331260252767,16
260,-231.2322576504823,16
261,-174.62267317516043,16
262,-230.10012491256765,16
263,-169.84921761606654,16
264,-217.7282737502478,16
265,-208.24513271064896,17
266,-125.16500711203288,17
267,-237.79023530750638,17
268,-239.4908721536013,17
269,-121.60724501900417,17
270,-232.54203009466445,17
271,-90.5971461109453,17
272,-259.43528488982406,17
273,-246.97159200123554,17
274,-234.76997149982796,17
275,-226.24564071342758,17
276,-52.536476747226615,17
