episode,return,update
1,-187.40304558560484,1
2,-190.61706461724145,1
3,-261.81015669584934,1
4,-193.54518206666648,1
5,-185.990713813635,1
6,-221.37422924426323,1
7,-185.14665126628338,1
8,-206.7941662813139,1
9,-191.03564977150467,1
10,-149.55732274458725,1
11,-144.78439921397475,1
12,-189.15791090886663,1
13,-187.8991530696623,1
14,-141.24628465133472,1
15,-200.46002076509464,1
16,-205.78471363914085,1
17,-239.661385407094,1
18,-172.13191010190653,1
19,-187.28641676246684,1
20,-190.44108736890746,1
21,-122.27255642738803,1
22,-156.90712938926055,1
23,-178.7755299513851,1
24,-235.13021064818122,2
25,-165.20175635107358,2
26,-209.30273185285765,2
27,-250.98466244870133,2
28,-250.83994835734674,2
29,-188.5762494695704,2
30,-170.77054476052425,2
31,-186.296899752852,2
32,-184.62109064422387,2
33,-225.55651371201049,2
34,-155.3951124784485,2
35,-192.66514163546591,2
36,-145.3199095441077,2
37,-179.59862072797213,2
38,-181.62025071623438,2
39,-189.14670839946308,2
40,-184.5647792695145,2
41,-196.02478190187372,2
42,-186.98509778937847,2
43,-207.97817679128354,2
44,-231.86011520843758,2
45,-183.68971061867768,2
46,-160.72689556575781,2
47,-205.28228576447736,3
48,-189.3208979614464,3
49,-232.93464130820948,3
50,-239.48186610963424,3
51,-190.93810943661236,3
52,-182.58235318763698,3
53,-205.69570455259404,3
54,-119.49676799308244,3
55,-187.9192463562782,3
56,-213.5770615590414,3
57,-233.27994345375672,3
58,-171.41187740754475,3
59,-248.56968922231516,3
60,-180.8487319559584,3
61,-187.10707421907324,3
62,-211.29747202501414,3
63,-180.14382245870448,3
64,-167.93311920971408,3
65,-249.39135684058635,3
66,-133.83642735496025,3
67,-170.44187631789674,3
68,-184.3352619576931,3
69,-151.94857244716525,4
70,-150.94529754553346,4
71,-214.88552272273887,4
72,-207.26521777377036,4
73,-175.34150755228984,4
74,-181.8803878901793,4
75,-199.93331750266003,4
76,-212.72936831941598,4
77,-183.63482093563846,4
78,-174.26057079750026,4
79,-184.4494747755845,4
80,-213.7926283198684,4
81,-179.2720002204849,4
82,-174.95890512747496,4
83,-211.8124572368212,4
84,-164.70168791973418,4
85,-137.35238171043267,4
86,-197.18103340388856,4
87,-184.90493806312116,4
88,-141.05900420285104,4
89,-181.33380408867163,4
90,-176.19773008811526,4
91,-239.29851616730235,5
92,-153.75889425822385,5
93,-139.36852931277838,5
94,-256.9111393014626,5
95,-201.22229619209259,5
96,-206.95184314575494,5
97,-142.86955683958945,5
98,-158.96984341088853,5
99,-194.71027469206246,5
100,-228.67460996444154,5
101,-213.14190424154432,5
102,-210.29785566914538,5
103,-222.31865345088957,5
104,-129.47393532946893,5
105,-157.6446747091667,5
106,-180.02741206532593,5
