episode,return,update
1,-185.56010000989073,1
2,-188.16867103394372,1
3,-260.9680293726987,1
4,-191.8544555480355,1
5,-184.28088948998084,1
6,-218.92030244258171,1
7,-182.84174203700482,1
8,-232.06272948440727,1
9,-178.24754994829246,1
10,-176.0827288628809,1
11,-180.43870970528295,1
12,-184.18670809607434,1
13,-188.27045938707622,1
14,-186.2497214065337,1
15,-207.90441821251872,1
16,-226.21332348237425,1
17,-212.5683990671792,1
18,-200.708638601514,1
19,-183.31237464096583,1
20,-189.4540054070539,1
21,-160.35257793877435,1
22,-200.7971391372718,1
23,-197.13013159193017,1
24,-234.66839601558468,2
25,-210.25237995918175,2
26,-202.81768954180012,2
27,-248.00585873798644,2
28,-246.93443580010614,2
29,-183.47265057231354,2
30,-210.61206070361456,2
31,-211.13509855344992,2
32,-187.35672548419436,2
33,-281.1236781443113,2
34,-200.56539211828772,2
35,-187.8943698696322,2
36,-180.99181499411728,2
37,-183.83790190085952,2
38,-203.7289740835908,2
39,-185.99767501208993,2
40,-255.13316016078898,2
41,-187.87997316239955,2
42,-200.85827545974473,2
43,-169.88440795688652,2
44,-211.21919633039573,2
45,-179.35373675863775,2
46,-191.033431305226,2
47,-213.95589626631866,3
48,-235.3328488855875,3
49,-214.8157811494433,3
50,-243.2439448086448,3
51,-242.39874860811352,3
52,-197.45657600272105,3
53,-207.2006801243325,3
54,-185.82831999259835,3
55,-180.43493551864864,3
56,-253.27420875820144,3
57,-189.86222380915447,3
58,-181.5226288336642,3
59,-233.85639478088737,3
60,-170.0453413905845,3
61,-244.06436493926407,3
62,-238.57963718175805,3
63,-264.30006948703556,3
64,-179.64049235156608,3
65,-257.1929134425388,3
66,-180.91850687489486,3
67,-172.925352755455,3
68,-202.35919521929773,3
69,-177.76034794184915,4
70,-181.89315378594603,4
71,-258.35771613324175,4
72,-178.37037892776573,4
73,-236.97029034265066,4
74,-171.50529644911654,4
75,-245.20736752249258,4
76,-185.917415335347,4
77,-226.33407604640962,4
78,-181.21569555408044,4
79,-195.9023065116371,4
80,-237.72376131861057,4
81,-213.33936400011052,4
82,-213.51717035986684,4
83,-186.12722635112286,4
84,-197.28858705722524,5
85,-217.59121353075406,5
86,-235.00665284041295,5
87,-211.81057448175977,5
88,-181.1853192382482,5
89,-210.0313856786381,5
90,-177.15856499027052,5
91,-252.70287974684223,5
92,-225.43166240359193,5
93,-196.04656555815367,5
94,-244.31352803979155,5
95,-130.46226043988344,5
96,-234.8769633884829,5
97,-249.30413638068137,5
98,-179.98632723706731,5
99,-198.8399869774654,5
100,-160.00085175821891,5
101,-205.00824177517308,5
102,-195.36835537802196,5
103,-198.23081773386807,6
104,-207.4578985677281,6
105,-174.21993565899,6
106,-172.81889777882904,6
107,-233.79067462472983,6
108,-210.52703023692166,6
109,-212.7509165540583,6
110,-270.84901098783223,6
111,-237.99987002452033,6
112,-223.92571326520545,6
113,-219.57572512033775,6
114,-212.11281341310308,6
115,-168.95952203806337,6
116,-205.71119113721204,6
117,-175.25367245097019,6
118,-216.6496887874177,6
119,-177.9894011544328,6
120,-210.9162929054875,6
121,-157.65706610177784,7
122,-298.70631499713556,7
123,-226.34879091647144,7
124,-249.58285672599106,7
125,-172.7186301396617,7
126,-163.73274397513399,7
127,-226.07387731788106,7
128,-182.0712359005846,7
129,-163.425049666743,7
130,-176.0846761905196,7
131,-165.01797952197876,7
132,-244.66014557337402,7
133,-156.98632957203213,7
134,-207.33144424841814,7
135,-224.29721781487453,8
136,-189.3557121755393,8
137,-248.7452860975342,8
138,-243.90699258988408,8
139,-287.66127880629716,8
140,-267.2310379953757,8
141,-218.0028071876535,8
142,-248.59866330678054,8
143,-207.65618054966643,8
144,-246.126610010447,8
145,-203.13655374728106,8
146,-222.643710782563,8
147,-230.61119435065504,8
148,-286.3876056040124,8
149,-302.1094640858831,8
150,-257.7632413630336,9
151,-173.939023308872,9
152,-237.90152423547067,9
153,-184.69052406813154,9
154,-239.418790525911,9
155,-258.8708401889861,9
156,-179.49175947804662,9
157,-251.32730109798837,9
158,-243.74490704883937,9
159,-225.60083181852127,9
160,-178.63452934353185,9
161,-253.44238316339556,9
162,-247.3541303356496,9
163,-167.92385571094738,9
164,-256.070494722388,10
165,-206.94393884454527,10
166,-214.12169520791795,10
167,-209.92927536297952,10
168,-182.1581894043483,10
169,-252.45647696826384,10
170,-217.75062801795738,10
171,-294.8515726774585,10
172,-235.86498121164786,10
173,-259.7545162718172,10
174,-197.16550162780794,10
175,-244.10334991887518,10
176,-251.96368789406654,10
177,-233.8532425735227,10
178,-216.91647435675785,11
179,-278.5174037443438,11
180,-238.9051606189991,11
181,-219.4023687124871,11
182,-221.22580892444074,11
183,-217.90709110570583,11
184,-189.45823193090578,11
185,-267.1153230347875,11
186,-205.45944508095022,11
187,-205.69493244903498,11
188,-215.60709788444692,11
189,-270.682990105202,11
190,-229.83317926107904,11
191,-270.1714138018185,11
192,-290.17646264251135,11
193,-246.5394959575035,12
194,-202.3517352419798,12
195,-229.06236958887035,12
196,-244.02671805445237,12
197,-210.29076574754905,12
198,-177.89021408488446,12
199,-249.74894144688565,12
200,-212.55299165551844,12
201,-248.70167218348286,12
202,-230.28622321217568,12
203,-193.27821728224188,12
204,-292.1306176183324,12
205,-226.63480515697452,12
206,-246.40926661622342,12
207,-235.2972259210584,13
208,-227.12159523358542,13
209,-202.05043512515124,13
210,-199.27719909087415,13
211,-222.2808662470023,13
212,-212.91690890814593,13
213,-257.02011080503297,13
214,-252.21443466247197,13
215,-233.42870221905008,13
216,-214.577803952242,13
217,-234.173749005297,13
218,-220.01182351285982,13
219,-213.33771666672004,13
220,-196.26955410589946,13
221,-242.2174180597429,13
222,-310.7330723905131,14
223,-229.35739334377166,14
224,-192.5228266948872,14
225,-200.88432663270103,14
226,-272.4382413969189,14
227,-166.01939029874427,14
228,-228.53688559921693,14
229,-226.71176181705874,14
230,-197.34905666330565,14
231,-273.63547462398395,14
232,-235.447818527928,14
233,-230.70551815441138,14
234,-206.45899091393972,14
235,-127.0184814480367,15
236,-218.3893144529653,15
237,-223.31209894938783,15
238,-207.30585737797088,15
239,-229.79428094265913,15
240,-262.79434643501094,15
241,-233.08095900503133,15
242,-157.64588356355696,15
243,-235.790069283808,15
244,-155.55290963144972,15
245,-223.35544195449845,15
246,-226.42787900989882,15
247,-193.36082256178238,15
248,-198.37688449012091,15
249,-226.42312807314715,15
250,-198.5362042681243,15
251,-244.61449958355772,16
252,-190.46330237901796,16
253,-169.49234878980084,16
254,-273.6089674116474,16
255,-225.45459889593826,16
256,-230.19761792134815,16
257,-281.5990864714762,16
258,-223.7256749020384,16
259,-198.60304711112218,16
260,-205.32497092207282,16
261,-182.84838365115309,16
262,-217.13835212526968,16
263,-293.5247527258115,16
264,-253.55413615259573,16
265,-212.07550413304443,16
266,-186.0191995537204,17
267,-236.1391481808575,17
268,-228.78061304997144,17
269,-236.0930626956307,17
270,-180.28429197779417,17
271,-291.2239661660876,17
272,-222.3541817082094,17
273,-275.7203596370011,17
274,-221.06098466756873,17
275,-268.47730062797626,17
276,-184.14542481675707,17
