episode,return,update
1,-112.98258913180378,1
2,-124.24432830801098,1
3,-129.41253565632627,1
4,-426.5250858116245,1
5,-118.91563709925083,1
6,-102.86828299298435,2
7,-93.76663582591782,2
8,-185.38351290283143,2
9,-62.21764774955045,2
10,-379.55860866032737,2
11,-99.46189943888935,2
12,-94.20182704358388,3
13,-109.1830295941958,3
14,-76.792987819298,3
15,-88.13109471736773,3
16,-273.4879308291399,3
17,-136.48903363173952,3
18,-43.933399946766656,4
19,-78.25439022823302,4
20,-93.35790353776906,4
21,-313.25411818261847,4
22,-111.1399697244249,4
23,-95.7196853665918,4
24,-201.08797288893265,5
25,-154.92236942099856,5
26,-202.57850744263146,5
27,-184.2280130881889,5
28,-184.63297949181373,5
29,-59.1080900990506,6
30,-299.0287842409549,6
31,-117.78019427539833,6
32,-69.09097393527624,6
33,-121.34728134364637,6
34,-157.59550258151367,7
35,-109.18507585485169,7
36,-248.17699788600456,7
37,-142.91687501226556,7
38,-148.3850767450233,7
39,-139.40834769707615,7
40,-107.40095853094658,8
41,-81.0386687544846,8
42,-108.31654359892052,8
43,-117.37245693877536,8
44,-207.8460718819002,8
45,-132.56311055331932,8
46,-198.5432067403654,8
47,-103.2110824122598,9
48,-105.30231466650349,9
49,-119.00513575699965,9
50,-177.16728389597338,9
51,-96.80522629440965,9
52,-116.79160701667911,9
53,1.2133346211916631,10
54,-168.7064501474095,10
55,-137.6057164908686,10
56,-131.7744457762327,10
57,-157.96995340158003,10
58,-134.0497124657424,11
59,-81.09271182092282,11
60,-97.5161257580781,11
61,-229.45253718260105,11
62,-423.98860512774377,11
63,-134.85180477254278,11
64,-91.89870511236441,12
65,-125.855571577083,12
66,-89.04341756085303,12
67,-128.7011779915759,12
68,-127.9884527354239,12
69,-222.42906713678533,12
70,-146.47578565181772,13
71,-290.4644988403205,13
72,-119.27783775306636,13
73,-62.64756183097686,13
74,-67.54676552273719,13
75,-324.05250515514103,13
76,-255.06499644123693,14
77,-137.3967995061559,14
78,-128.04166027984687,14
79,-162.1060205119631,14
80,-296.3493259076574,14
81,-77.2554315642914,14
82,-103.67684803276002,14
83,-163.28876992985593,15
84,-304.4620003906407,15
85,-121.0796511265615,15
86,-311.19197850179694,15
87,-127.96279268394987,15
88,-340.9565222327919,16
89,-97.34348226526977,16
90,-108.41383113929197,16
91,-273.49221627384395,16
92,-120.30947132685878,16
93,-145.31376421376086,16
94,-46.22344137085253,17
95,-133.4200991992388,17
96,-339.39577266658966,17
97,-288.70102194260926,17
98,-127.84722433442225,18
99,-129.3941579096287,18
100,-232.3890599837026,18
101,-263.9228670848853,18
102,-112.2408020111598,18
103,-72.68828999217408,18
104,-107.24611961108988,19
105,-159.0449777752312,19
106,29.40759785913437,19
107,-33.38438562937894,19
108,-134.45350274006208,19
109,-431.9967196687057,20
110,-136.23462000706763,20
111,-464.1090646265713,20
112,-205.5367673889628,20
113,-189.7254265450943,20
114,-72.10614052626332,20
115,-344.6126861594987,21
116,-271.15344816717277,21
117,-59.024847339563095,21
118,-201.25840975563693,21
119,-144.85524478242317,22
120,-199.04074212192194,22
121,-283.61652189482425,22
122,-63.84128509964546,22
123,-188.08085689180479,22
124,-217.76417576720615,23
125,-243.25433860373195,23
126,-62.33798747085552,23
127,-75.46067042356201,23
128,-394.16665785772403,23
129,-18.044863494562605,24
130,-103.0003547213292,24
131,-217.84757854087886,24
132,-65.66816136363528,24
133,-183.91907027149165,24
134,-321.51825730931256,24
135,-77.90961224210051,25
136,-149.9503296149015,25
137,-278.10703287128,25
138,-102.67333645377686,25
139,-53.48567784450793,26
140,-287.91548216804625,26
141,-471.9173427600121,26
142,-339.63672926230424,26
143,-173.53394356163327,26
144,-394.59477853283494,27
145,-321.5305936932681,27
146,-402.18540991403177,27
147,-460.72829853353926,27
148,-464.54886310715847,28
149,-364.24015898799433,28
150,-398.4201728144351,28
151,-25.2931824999487,28
152,-179.77568373832742,29
153,-40.80498065426829,29
154,-259.2928759532032,29
155,-58.79941480829183,29
156,-124.6558600344892,29
157,-226.95395242401577,30
158,-306.49422157787654,30
159,-320.756520698195,30
160,-101.44715829344635,30
161,-255.52963983229705,31
162,-183.81918541376228,31
163,-519.6126416550716,31
164,-60.56493700698674,31
165,-239.9955985783741,31
166,-276.13490327033264,32
167,-162.85450599429478,32
168,-270.0231312155553,32
169,-309.54930491343015,32
170,-365.79476452411177,33
171,-131.4258159040594,33
172,-114.5380461300113,33
173,-147.72608063913867,33
174,-261.79281397497056,33
175,-113.49093495216329,34
176,-367.732491181416,34
177,-96.31701405466052,34
178,-331.771271427534,34
179,-356.3329527597605,35
180,-86.21918354883104,35
181,-95.4679020801482,35
182,-225.55329144197717,35
183,-133.11892870086416,35
184,-106.0716246910684,35
185,18.48560064097768,36
186,-124.80122136639113,36
187,-108.4544059820774,36
188,-106.45419132902173,36
189,-119.70372843232983,36
190,-231.81033245527664,36
191,-128.62845759597477,37
192,-108.47412229275669,37
193,-248.2863598809815,37
194,-186.00316727539808,37
195,-44.467858261640764,37
196,-97.07079794562581,38
197,-205.9167813474896,38
198,-368.8365606685582,38
199,-399.2076431524102,38
200,-48.73835376759719,38
201,-292.87681714133385,39
202,-310.2312091481766,39
203,-147.10159788305668,39
204,-130.2803656246791,39
205,-160.02700580926145,39
206,-264.93926179247035,40
207,-108.42218535467978,40
208,-421.76998673064406,40
209,-412.1842091466875,40
210,-63.155225346618174,40
211,-361.70169046592764,41
212,-206.2316937009445,41
213,-117.76763159289342,41
214,-247.95126647864723,41
215,-179.46516788113058,42
216,-315.51529350456985,42
217,31.67043469961814,42
218,-34.694425296715295,42
219,-48.45649348425455,42
220,-359.84466055164694,43
221,-377.27873507765565,43
222,-453.45811496736195,43
223,-190.79890185103986,43
224,-143.5847568495919,43
225,-282.93625253294135,44
226,-553.3628859614178,44
227,-240.94048539542234,44
228,-339.3565316605103,44
229,-119.04553675795184,44
230,-58.30729247338989,45
231,-314.9359762285653,45
232,-283.52653700661045,45
233,-108.16482151212833,45
234,-32.146528107174035,46
235,-67.5228701396838,46
236,-386.295372216758,46
237,-198.97796482204703,46
238,-309.7265179482338,47
239,-464.6888846343073,47
240,-256.0821081747911,47
241,-331.1270333338905,47
242,-215.88969309754745,48
243,-447.9943705479906,48
244,-262.126567564689,48
245,-87.81760077546355,48
246,-385.4686200243216,48
247,-396.7165243481479,49
248,-326.8214595759378,49
249,-320.0361284983844,49
250,-98.82716709098953,49
251,-347.8660175729648,49
252,-319.95403426121226,50
253,-432.03832625913805,50
254,-478.24511638966703,50
255,-137.41609559409142,50
256,-33.97395716773231,50
257,-372.6608638720965,51
258,-167.14086270269522,51
259,-324.3130578002416,51
260,-219.30883965173405,51
261,-9.484551742468554,51
262,-174.0091558982956,52
263,-70.67020159177582,52
264,-104.05554415176098,52
265,-362.5119306874695,52
266,-114.93947841031203,52
267,-289.2808403489121,52
268,-378.9683487279062,53
269,-125.15819476697794,53
270,31.106312316641066,53
271,-115.50936461106856,53
272,-274.9372824780796,53
273,-427.9925409043898,54
274,-182.2381719596157,54
275,-167.36508509127628,54
276,-110.59103973398081,54
277,-107.61553124288042,54
278,-175.59357571689327,55
279,35.29358044947742,55
280,-317.70110445109174,55
281,-332.02326965251814,55
282,-399.1935518355542,55
283,-86.65033227201724,55
284,-104.6569330160853,56
285,-317.66329199742137,56
286,-261.35859550072536,56
287,-164.52453278863345,56
288,-277.57602348782103,56
289,-115.20308297762128,56
290,-135.94105942465742,57
291,-156.41452054939478,57
292,-85.71223077241375,57
293,-319.0570409130879,57
294,-107.28166774467262,57
295,-112.64150962749386,57
296,-318.02356485726693,58
297,-274.84311325515273,58
298,-333.5329481739038,58
299,-138.8225601641222,58
300,-61.16577053896624,58
301,-401.41409978214597,59
302,-97.5958731339131,59
303,-319.25695843112163,59
304,-128.3484877787829,59
305,-96.55407373919365,59
306,-184.98933819866318,59
307,-370.91110906199015,60
308,-380.49440145959545,60
309,-295.07734658475414,60
310,-171.2869558030822,60
311,-220.95144224847655,60
312,-77.30749948246898,61
313,-391.438029456104,61
314,-114.88424697324643,61
315,-110.18095172338643,61
316,-335.85933473980515,61
317,-107.75240752964234,61
318,-216.94378693104716,62
319,-269.40857493109684,62
320,-227.71829815979515,62
321,-114.60531536893168,62
322,-239.6280639276928,62
323,-126.49780529866734,63
324,-189.02034019148024,63
325,-337.78248712102845,63
326,-93.25767198367215,63
327,-118.31432934358159,63
328,-81.84831467455066,63
329,-31.5311429850981,64
330,-221.6063416538509,64
331,-98.56047739797042,64
332,18.068716088694387,66
333,-109.93099402304043,66
334,-249.8095802693936,66
335,-133.07356071390154,67
336,-197.56002199424287,67
337,-275.23962495713147,67
338,-342.3369784700867,67
339,-101.61677479536914,67
340,-274.87596535700015,68
341,-378.77660674194095,68
342,31.558309611862967,68
343,-168.91691039800725,68
344,-175.57511733517595,68
345,-437.2907542078985,69
346,-133.30832440087238,69
347,-173.53825957285713,69
348,-61.306060114651274,69
349,-46.74882447275293,69
350,-370.6863503984645,69
351,-91.15331252569084,70
352,-185.23834383713208,70
353,-265.1382363942252,70
354,-97.64190240284596,70
355,-197.3081932349744,70
356,-423.773591773583,71
357,-311.1871694549153,71
358,-114.71984298267881,71
359,-113.46941181059472,71
360,-206.90181776054982,71
361,-347.64413457026745,72
362,-274.1697684579767,72
363,-185.65799651344463,72
364,-191.66704245175404,72
365,-74.1116274712677,72
366,-168.2659589812265,73
367,-117.45140438132977,73
368,-102.56077937384455,73
369,-60.90280700204075,73
370,-222.1722620897889,73
371,-329.2551820540082,73
372,-63.66882729811627,74
373,-305.7828032613428,74
374,-49.63498973477672,74
375,-397.94499670761576,74
376,-390.15693160158304,74
377,-203.39434315448477,75
378,-478.8483373426388,75
379,-360.441213216904,75
380,-292.0606855530781,75
381,-112.99650343468619,75
382,-70.32656769938922,76
383,-108.49057266455591,76
384,-251.06691113379003,76
385,-320.91235240558524,76
386,-106.53112237006951,76
387,-280.3344928333338,76
388,-90.67608320578164,77
389,-232.2144621941608,77
390,-347.8508195839066,77
391,-377.2083063042229,77
392,-214.44459301613017,77
393,-75.00028839377485,78
394,-196.53921788889951,78
395,-205.71948531456843,78
396,-231.12915440934876,78
397,-44.39722420267445,78
398,-190.81389400702784,79
399,-142.2255605653127,79
400,-159.03689772900594,79
401,-103.6551672563041,79
402,-193.47168216829616,79
403,-107.2255968983605,80
404,-143.8339728883446,80
405,-226.28239486404124,80
406,-150.67971334746488,80
407,-432.2055916767225,80
