episode,return,update
1,-112.98258913180378,1
2,-124.24432830801098,1
3,-129.41253565632627,1
4,-426.5250858116245,1
5,-118.91563709925083,1
6,-102.86828299298435,2
7,-93.76663582591782,2
8,-242.88833636995284,2
9,-100.8787192789472,2
10,-471.60097318963835,2
11,-99.46189943888935,2
12,-94.20182704358388,3
13,-95.96358757273283,3
14,-129.42463207466693,3
15,-99.7596000036134,3
16,-288.67175461002887,3
17,-92.15494487278767,3
18,-295.46369855720593,4
19,-208.39068677585678,4
20,-80.1735627171791,4
21,-301.88071141282387,4
22,-111.8614249322874,4
23,-91.22877868492318,4
24,-303.42384488526073,5
25,-175.2555821323386,5
26,-114.54705999170945,5
27,-179.90386057731445,5
28,-199.24730882996857,5
29,-80.45254856783146,6
30,-257.56263991223227,6
31,-119.12965549713915,6
32,-95.23390702305625,6
33,-103.59000112829094,6
34,-113.33691240621022,6
35,-131.07091155062818,7
36,-138.87946196981463,7
37,-129.30495557355655,7
38,-113.93545558955583,7
39,-87.04421300817103,7
40,-253.4907065157553,7
41,-77.8940185432013,8
42,-162.50987221907977,8
43,-142.37335641712713,8
44,-323.542385712018,8
45,-251.7658397231907,8
46,-151.3216669954449,8
47,-78.17778337660212,8
48,-148.92468379685673,9
49,-129.91662763896667,9
50,-124.4132992486185,9
51,-318.8565841424098,9
52,-133.27405700350283,9
53,-249.1585537139779,9
54,-142.28332087241762,10
55,-188.7739658153929,10
56,-154.99690343326944,10
57,-122.31420113818388,10
58,-202.49706401618818,10
59,-131.0944934679975,10
60,-2.1598315757390196,11
61,-179.96731246157174,11
62,-208.49976797028432,11
63,-114.93289292720928,11
64,-114.22682846299594,11
65,-109.5085517968944,11
66,-90.91114204925576,12
67,-108.52701899972061,12
68,-204.77979928441337,12
69,-177.33848910958443,12
70,-106.65991677203947,12
71,-360.36716985222944,12
72,-200.56610023535615,13
73,-72.95999793648892,13
74,-69.99731688256867,13
75,-169.6355406814836,13
76,-231.8048406439121,13
77,-36.81378932331414,14
78,-38.50031052944554,14
79,-83.01662159488708,14
80,-339.88928129167454,14
81,-68.44398629482784,14
82,-68.61516978131736,14
83,-32.8208074877509,15
84,-97.93637315223621,15
85,-282.0003157185862,15
86,-300.3655647406147,15
87,-275.0139435843199,16
88,-436.3154984910744,16
89,-261.9524365769454,16
90,-96.93403061175394,16
91,-242.38189226430183,16
92,-323.7201691953695,17
93,-327.91560851246675,17
94,-383.54924740291244,17
95,-354.5971471749385,17
96,-193.34187868413025,17
97,-438.0752349701111,18
98,-510.9329165453525,18
99,-331.8364142201877,18
100,-222.12995100729705,18
101,-337.828202490137,18
102,-106.15286204638478,19
103,-281.1976189764089,19
104,-540.1289020224547,19
105,-288.0819134670219,19
106,-275.8461671306932,19
107,-233.5143573384551,20
108,-252.41938625518614,20
109,-378.5604216997753,20
110,-309.8633833918962,20
111,-159.05113036397773,20
112,-309.67369063546494,21
113,-289.99151515875036,21
114,-304.7347353918651,21
115,-425.03301706180036,21
116,-479.66312147109335,21
117,-71.32230452449161,22
118,-239.06928771311445,22
119,-229.68234388811578,22
120,-354.1770019610952,22
121,-463.67496782859337,22
122,-89.52133709418383,23
123,-224.1542784578149,23
124,-243.7567010551816,23
125,-27.37980635636339,23
126,-47.342687993117416,24
127,-111.36417714111387,24
128,-108.30622026364615,24
129,-199.25716978923998,24
130,-218.9363575423942,24
131,-395.34647502686414,25
132,-291.46272286317617,25
133,-167.31220738092904,25
134,-241.4071086556391,25
135,-200.74903751379026,25
136,-266.5443477473432,26
137,-419.7418878815967,26
138,-261.9206209891274,26
139,-368.98486348197525,26
140,-577.3185835871204,27
141,-93.60738428135035,27
142,-243.45418553256405,27
143,-105.97929563336427,28
144,-63.146620309994454,28
145,-105.17303165571725,28
146,-348.03039434713173,28
147,-489.15722155869923,28
148,-294.84966743579616,29
149,-246.4542321448979,29
150,-353.0746651418088,29
151,-57.021072666045356,29
152,-285.68492145610514,30
153,-506.5786607406249,30
154,-363.6044530718008,30
155,-328.6010963961795,30
156,-451.39646581632877,31
157,-430.32894685071227,31
158,-462.7066279050236,31
159,-381.19114856678493,31
160,-240.9087787331502,31
161,-115.4052860082509,32
162,-352.5334282336911,32
163,-273.7992431942449,32
164,-537.4977107098163,32
165,-180.40049329918926,32
166,-199.01606450696138,33
167,-90.91938204544297,33
168,-132.95382487754986,33
169,-170.62583213140505,33
170,-364.5301104252409,33
171,-153.14649459044364,34
172,-103.56162325170905,34
173,-412.18655809773117,34
174,-153.73813294865826,34
175,-675.3327438289635,34
176,-453.75981298748127,35
177,-102.12396858643237,35
178,-361.2353480090832,35
179,-409.5402665731582,35
180,-102.78979578864892,35
181,-147.8392645935799,35
182,-188.97803859825254,36
183,-105.19775025993783,36
184,-101.33738081974495,36
185,-102.75912687261723,36
186,-207.03859506200916,36
187,-238.59243963538339,36
188,-331.89313978694497,37
189,-145.3235571591525,37
190,3.8331245985659734,37
191,-115.27900467655815,37
192,-399.75828332911976,37
193,-192.14721248165483,38
194,-74.43935301985624,38
195,-81.21821852287685,38
196,-224.17250044926283,38
197,-468.30261184629245,38
198,-194.71079762202194,39
199,-379.5207118296827,39
200,-101.59889328954353,39
201,-194.18736678379292,39
202,-451.06639211771693,39
203,-217.04241975772882,40
204,-436.42601636827044,40
205,-266.9503438089497,40
206,-333.7764251272532,40
207,-200.89615808235527,40
208,-180.90974309357603,41
209,-178.44517623082223,41
210,-20.94412860051608,41
211,-296.7360253949606,41
212,-290.81130541144694,41
213,-56.98102571732152,41
214,-212.525307391117,42
215,-268.91949458220245,42
216,-189.53055616022237,42
217,-160.31748989004274,42
218,-284.4705455564455,42
219,-199.86233069168213,43
220,-185.47821934701483,43
221,-335.40878710377115,43
222,-544.1197147905328,43
223,-330.24647918102886,43
224,-101.51406118026311,43
225,-133.43859601216153,44
226,-178.01931477382385,44
227,-189.19816343977618,44
228,-500.17564110553315,44
229,-75.55024787164064,44
230,-92.75813052512231,44
231,-210.62839176891276,45
232,-79.32219220197234,45
233,-292.60050837383926,45
234,-128.81890287538644,45
235,-467.1877168042445,45
236,-222.76001051010735,46
237,-99.13141763926065,46
238,-132.5579252192012,46
239,-280.5037531990355,46
240,-375.41433137572335,46
241,-98.1199548459133,46
242,-38.99988842099467,47
243,-311.8628760077653,47
244,-294.24509773418504,47
245,-182.29186417847924,47
246,-260.19268624605854,47
247,-76.65330250800494,47
248,-186.18574534184833,48
249,-73.18483821605184,48
250,-169.2379777761179,48
251,-110.64274145229581,48
252,-111.10468768157608,48
253,-35.09761081751256,49
254,-188.89026629796308,49
255,-142.743794331634,49
256,-89.32524876015859,49
257,-251.67002033690133,49
258,-103.85102551177602,49
259,-339.50526107249607,50
260,-379.92371228128854,50
261,-67.8118985942819,50
262,-328.0958646403769,50
263,-104.51096327231973,50
264,-74.63233563538874,50
265,-128.62521599245395,50
266,-106.67385802794564,51
267,-452.01976839695465,51
268,-458.19119234185615,51
269,-384.43441235123254,51
270,-81.24411117398189,51
271,-295.4890294488507,51
272,-455.4760721658425,52
273,-554.3072550979768,52
274,-365.67543389036405,52
275,-359.5212788082844,52
276,-327.0223239231691,52
277,-382.1788331564882,53
278,-246.6420326322801,53
279,-282.6518637932213,53
280,-307.77516322781844,53
281,-343.5901717516498,53
282,-123.20600622557987,53
283,-164.53845604868482,54
284,-95.88121310594707,54
285,-91.74499971298968,54
286,-366.9017896053872,54
287,-229.22695215172556,54
288,-183.1583805510967,54
289,-238.7484591136672,55
290,-102.13591073039812,55
291,-363.9666251348575,55
292,-309.7714747933102,55
293,-23.100896760313134,56
294,-93.72088104587834,56
295,-315.9775563351519,56
296,-390.5390826624338,56
297,-417.8809002855134,57
298,-13.986103001758167,57
299,-336.98816608642727,57
300,-457.9091561215538,57
301,-401.88074185478877,58
302,-106.15738061556661,58
303,-120.41905032522045,58
304,-240.6701733836213,58
305,-62.84727780368317,58
306,-193.84733288830566,59
307,-283.96278630846905,59
308,-140.410137901062,59
309,-116.14768158922483,59
310,-218.5606972491491,59
311,-208.8274538641117,59
312,-173.84991973878027,60
313,-433.96374381963665,60
314,-186.59038049027487,60
315,-204.420002442209,60
316,-119.38124256612474,60
317,-175.38844566605326,61
318,-311.3881540755369,61
319,-364.46191829336584,61
320,-402.55437406797853,61
321,-41.993453833898535,61
322,-76.06892313856036,61
323,-98.3440400290965,62
324,-181.7172738521316,62
325,-110.9471812973243,62
326,-471.032428706626,62
327,-204.67187189985685,63
328,-100.07869371933461,63
329,-147.0642735206515,63
330,-151.72402666909989,63
331,-373.34387181772377,63
332,-111.95119381453351,63
333,-103.87895922702232,63
334,-333.181283970867,64
335,-124.26144542850717,64
336,-256.7366010280056,64
337,-104.69733745950296,64
338,-620.4588473939449,65
339,-336.38540947903766,65
340,-130.94012195498118,65
341,-126.66400336506024,65
342,-170.3822740044978,65
343,-86.51171567648655,65
344,-490.7841669358881,66
345,-295.5732571259433,66
346,-251.63679278859132,66
347,-355.33878924861517,66
348,-108.11170959143074,67
349,-259.23108846747994,67
350,-193.0673459888329,67
351,-42.56846510520024,67
352,-205.92757045856257,67
353,-63.783720790165134,67
354,-268.50535046923767,68
355,-129.1004642222743,68
356,-377.7476640014274,68
357,-128.72590176944868,68
358,-131.45483763829398,68
359,-212.8012127224581,69
360,-483.99122015265857,69
361,-464.05194417629343,69
362,-234.74687617284803,69
363,-239.3040895524588,70
364,-220.71377140180974,70
365,-82.04432528345188,70
366,-323.20908173354485,70
367,-76.51081602624498,70
368,-335.78790722078696,71
369,-217.50881477525957,71
370,-404.7959619589541,71
371,-310.6691653922993,71
372,-51.84396780355301,72
373,-257.60080920397843,72
374,-92.26677495020164,72
375,-218.67337302132643,72
376,-308.27265813924646,72
377,-149.07734441305104,73
378,-29.754685189379614,73
379,-142.8458771602559,73
380,-375.9648680683238,73
381,-43.36027784536272,73
382,-247.36442124996094,74
383,-290.5512038657052,74
384,-238.01711706969513,74
385,-386.45276054443644,74
386,-303.9624882524457,74
387,-28.625303376089818,74
388,-108.56757336313433,75
389,-212.13827096725277,75
390,-191.90967096009535,75
391,-99.0229382051649,75
392,-173.93572071906857,75
393,-306.36361118109573,76
394,-119.56325110179891,76
395,-129.3251925222758,76
396,-141.45397034048298,76
397,-251.71178352632404,76
398,-139.26372949836508,77
399,-124.68307712763777,77
400,-227.947173156965,77
401,-281.09450677540974,77
402,-459.2668280939339,77
403,-340.26448633232496,78
404,-333.2261550499069,78
405,-120.8592481119443,78
406,-383.53174645698687,78
407,-138.11561430557126,78
408,-217.04432620385904,78
409,-105.29082531069872,79
410,-204.1734360532123,79
411,-411.97190888650084,79
412,-361.521133652819,79
413,-127.76621945802981,79
414,-123.1420977125502,79
415,-193.71313761096474,79
416,-244.599949835636,80
417,-387.8006059122865,80
418,-106.46680636008092,80
419,-395.7598684118047,80
420,-87.43292944194802,80
421,-146.0240641011539,80
