episode,return,update
1,-112.98258913180378,1
2,-124.24432830801098,1
3,-129.41253565632627,1
4,-426.5250858116245,1
5,-118.91563709925083,1
6,-102.86828299298435,2
7,-93.76663582591782,2
8,-185.38351290283143,2
9,-62.21764774955045,2
10,-379.55860866032737,2
11,-99.46189943888935,2
12,-94.20182704358388,3
13,-109.1830295941958,3
14,-76.792987819298,3
15,-88.13109471736773,3
16,-273.4879308291399,3
17,-136.48903363173952,3
18,-43.933399946766656,4
19,-78.25439022823302,4
20,-125.24956455328045,4
21,-308.34202106535,4
22,-134.7929358709293,4
23,-63.703240941589925,4
24,-169.54603553931452,5
25,-327.7799521785389,5
26,-162.29942983331983,5
27,-137.39957106228826,5
28,-156.57928656647238,5
29,-73.83426506656195,6
30,-288.9854320278133,6
31,-105.76224609968956,6
32,-110.40853717545649,6
33,-161.91010006161295,6
34,-122.35832570023186,7
35,-108.32277625434476,7
36,-14.76425062403716,7
37,-350.08549709114124,7
38,-98.34899566403521,7
39,-107.63596229476049,7
40,-294.5655960017542,8
41,-81.63094879997881,8
42,-150.77223355448976,8
43,-175.1025541087888,8
44,-164.42974513406676,8
45,-193.32394472438526,8
46,-187.83297663388632,9
47,-99.51132163542955,9
48,-177.54557601331135,9
49,-159.0348496684914,9
50,-164.36013920511678,9
51,-135.34287102773078,9
52,-185.54600009655275,10
53,-91.99868960465214,10
54,-333.558601392849,10
55,-112.92328041151967,10
56,-150.98036847544546,10
57,-104.36105184883873,10
58,-129.81185108506864,11
59,-131.8856283943635,11
60,-90.25728783607781,11
61,-135.45323688365926,11
62,-73.68960779440079,11
63,-145.36154415014536,11
64,-181.8503488769358,12
65,-118.97998563574242,12
66,-99.59473465268562,12
67,-64.24699200640318,12
68,-86.5006134438917,12
69,-163.2661349638945,12
70,-223.52322605483596,13
71,-201.58138107710016,13
72,-209.6271746765309,13
73,-73.38185241574756,13
74,-107.13590969602231,13
75,-427.9931155094573,13
76,-203.05156158888104,14
77,-21.273599222951688,14
78,-159.59842977713953,14
79,-117.74017309691533,14
80,-252.79399372297678,14
81,-65.12963130605753,14
82,-95.13241040463558,15
83,-411.5682838705756,15
84,-70.08482306481935,15
85,-123.71678547872814,15
86,-194.7274310650584,15
87,-167.5407263037332,16
88,-386.2176157476502,16
89,-87.04927680348408,16
90,-44.154214889344956,16
91,-203.4803229087619,16
92,-142.8822397271215,17
93,-86.44563342633275,17
94,-216.3580491715038,17
95,-172.07827217975498,17
96,-172.78517492565095,17
97,-248.55461289916997,18
98,-240.95898103181761,18
99,-255.3329839344745,18
100,-450.9729046725922,18
101,-188.76856497221175,18
102,-25.86745970898275,19
103,-298.8639798725909,19
104,-100.45807355778368,19
105,-225.19147352579188,19
106,-89.62770536531706,19
107,-259.84286521929903,20
108,-132.3717987087868,20
109,-325.3258186075585,20
110,-127.61276814297239,20
111,-134.42041751588192,20
112,-392.21390403847744,21
113,-313.3761776767861,21
114,-341.64760856488846,21
115,-284.4422188997097,21
116,-368.3670697381728,21
117,-93.8951177284936,22
118,-104.75565770338153,22
119,-74.86485257939466,22
120,-305.5270358902876,22
121,-174.98374484873597,22
122,-104.47363982587967,23
123,-308.3032388114344,23
124,-275.6580803951587,23
125,-318.9074531996345,23
126,-35.026346258028525,23
127,-87.49917955748786,24
128,-285.2756553809213,24
129,-78.59650520626295,24
130,-70.51570648964541,24
131,-545.0388332166538,24
132,-229.80897877087097,25
133,-80.74335855031894,25
134,-432.1777626911392,25
135,-478.1742016756249,25
136,-180.1869410390052,25
137,-494.8286506191939,26
138,-274.4836832976546,26
139,-522.1795681703998,26
140,-405.3159284227361,27
141,-496.52150665218846,27
142,-367.7377842696533,27
143,-161.83765482327937,27
144,-360.9855560732293,27
145,-395.8644582306739,27
146,-439.15016422290824,28
147,-430.87124547228353,28
148,-158.79688118695395,28
149,-397.6828120840227,28
150,-97.13278883565994,29
151,-85.52398642099378,29
152,-310.2682158513823,29
153,-100.96447813847789,29
154,-314.48770311952495,29
155,-502.1711030082851,30
156,-298.9376755436583,30
157,-273.7124210954777,30
158,-323.5414618184028,30
159,-194.57842016974377,30
160,-128.21915885589564,31
161,-253.04243350981855,31
162,-364.91860288362864,31
163,19.632111481508346,31
164,-279.6219614751418,31
165,-192.04842350058055,32
166,-285.54290868372425,32
167,-107.08428828081217,32
168,-169.61814930053075,32
169,-237.308581278305,32
170,-119.69452958225644,32
171,-108.89135034458452,33
172,-139.1264368478325,33
173,-125.16880007658888,33
174,-214.58492124812807,33
175,-157.34966485865414,33
176,-124.58528816046861,33
177,6.843493537918889,34
178,-226.9184065727132,34
179,-146.57289544737833,34
180,-111.6821112019273,34
181,-4.402359692212187,34
182,-430.6331336257407,34
183,-140.44764980953966,34
184,-195.21848007839242,35
185,-128.40035584018912,35
186,-157.10888200619513,35
187,-115.04005447351673,35
188,-247.41096064255441,35
189,-188.04533423522835,35
190,-293.05866965939873,36
191,-375.2379212405867,36
192,-140.6127885003942,36
193,-402.57312601724936,36
194,-79.1087942524494,36
195,-338.30251516626356,36
196,-488.61645580413665,36
197,-126.45636022250132,37
198,-349.51482451234256,37
199,-387.1229416231379,37
200,-303.27228698358044,37
201,-119.40902699808814,37
202,-98.5719506735355,38
203,-108.30608761625626,38
204,-118.68068028129514,38
205,-235.68710671116938,38
206,-150.21910286326744,38
207,-56.757609655251514,38
208,-163.46071674038586,39
209,-284.34592763826333,39
210,-40.4679904788171,39
211,-272.76755562299047,39
212,-271.91699837917656,39
213,-76.7401525027673,40
214,-116.06764648694283,40
215,-99.43865955271694,40
216,-126.2266649127426,40
217,-100.41661579526765,40
218,-125.55704097771344,40
219,-139.9122390951233,40
220,-101.66627355548644,41
221,-320.63940512724804,41
222,-216.41879461121695,41
223,-94.7780523697919,41
224,42.73271109454558,41
225,-140.02552958053911,42
226,-373.2342148288701,42
227,-83.98790777440007,42
228,-235.76928820666933,42
229,-163.15098571964455,42
230,-118.94621275258528,42
231,-164.58204581682,43
232,-124.4129764203132,43
233,-271.02657859322323,43
234,-580.941734858786,43
235,-74.99172375902171,44
236,-85.23246056446153,44
237,-279.5457148483571,44
238,-172.3798949945259,44
239,-510.5072237868797,44
240,-440.43411787543766,45
241,-336.30760222801376,45
242,-135.20168524030993,45
243,-181.5530969451974,45
244,-447.86826195645926,45
245,-320.402448778376,46
246,-372.26885522850665,46
247,-398.79090012402577,46
248,-370.36265201054647,46
249,-161.58135016510212,46
250,-323.54096683491775,46
251,-577.6717220508035,47
252,-49.571158188179496,47
253,-446.3161953534645,47
254,-183.29408749974164,47
255,-91.12249600261585,47
256,-116.3045248712128,48
257,-115.69605195148351,48
258,-25.019109814943135,48
259,-126.68301312149211,48
260,-172.22527001492642,48
261,-198.8411657915304,49
262,-349.3441673702939,49
263,-176.49531629405288,49
264,-249.2597808518485,49
265,-142.49927303554702,49
266,-40.3767186386188,49
267,-244.0493394734424,50
268,-372.25043471237103,50
269,-190.80867840830575,50
270,-330.4782047206528,50
271,-452.6427691221796,51
272,-440.05502610510626,51
273,-530.5476321177503,51
274,2.292134890055067,51
275,-390.8591772798132,52
276,-437.17130770177334,52
277,-240.35639953226587,52
278,-143.1582764838175,52
279,-305.7873790732376,52
280,-277.13457916016637,53
281,-342.9976635058444,53
282,-467.4861873675737,53
283,-220.30178475225455,53
284,-141.79453620263777,54
285,-313.26046716197186,54
286,-251.70336932449482,54
287,-52.345381400207444,55
288,-243.18524014516362,55
289,-584.3287131095643,55
290,-307.679291471581,55
291,-392.9464349528663,56
292,-374.19190707382774,56
293,-370.6348308160223,56
294,-502.18976190107327,57
295,-228.2980686923755,57
296,-393.1357169600843,57
297,-444.3461000095928,57
298,-349.0721251237744,57
299,-216.83853047265433,57
300,-478.6622613317659,58
301,-518.5491626175356,58
302,-156.58310950207928,58
303,-459.4541842878789,58
304,-187.3665820988454,58
305,-93.26984814483826,59
306,-307.3812087420769,59
307,-590.3940015669073,59
308,-107.96480337346729,59
309,-313.98938475385853,59
310,-399.3345445235882,60
311,-481.16778023172265,60
312,-157.47129333787572,60
313,-300.994375968011,60
314,-287.24145333898,60
315,-54.571587494392546,60
316,-38.90576766998659,61
317,-107.64095791907626,61
318,-63.36620353192198,61
319,-554.2422932143817,61
320,-133.46400713438726,61
321,-150.30527753048463,61
322,-266.2743491199918,62
323,-620.7843513705265,62
324,-233.19716627509277,62
325,-391.792360021044,62
326,-166.36702185776608,62
327,-216.33119494758745,63
328,-221.80093350515932,63
329,-102.45625311938424,63
330,-112.23238177210028,63
331,-80.30385556131307,63
332,-110.57296183104744,63
333,-188.82530980064445,64
334,-122.5692809653666,64
335,-59.40646575331609,64
336,-391.80199810644893,64
337,-275.0090767563365,64
338,-303.89415124332174,65
339,-315.0439960355866,65
340,-108.05545005160744,65
341,-193.1011563737603,65
342,-304.48507671229083,65
343,-244.9699003489937,65
344,-208.17998066586938,66
345,-498.46129054248354,66
346,-394.03937900377855,66
347,-95.24629524788676,66
348,-427.5892561963392,67
349,-94.42771885561909,67
350,-340.0117042135772,67
351,-250.0428643449153,67
352,-112.43772721416488,67
353,-73.21507988862898,67
354,-288.95117774627533,68
355,-174.52817084092223,68
356,-196.8829769592736,68
357,-108.74958868161103,68
358,-186.0238585681103,69
359,-390.7015245695872,69
360,-508.5113618016057,69
361,-352.6754336189448,69
362,-555.8396586243283,70
363,-580.6800689696988,70
364,-213.56863107526507,70
365,-521.3110020869335,71
366,-317.16013985090433,71
367,-522.5698210637615,71
368,-409.0959287502039,71
369,-445.00297657282624,71
370,-425.050534455781,71
371,-309.307138874639,72
372,-496.69184804098956,72
373,-446.4931199603039,72
374,-23.541450307081718,72
375,-407.75719803091914,72
376,-270.5782051864115,73
377,-249.6673571825014,73
378,-114.8459757529707,73
379,-248.47978512307,74
380,-199.86898824559324,74
381,-347.83649427154666,74
382,-88.30558698778813,74
383,-229.43553966457563,74
384,-235.56511312012975,75
385,-180.8487676328539,75
386,-71.52893075033404,75
387,-140.7224967850107,75
388,-303.7679779208903,76
389,-320.36998434168055,76
390,-493.8893363665257,76
391,-447.5559653863429,76
392,-239.42121884137916,77
393,-114.80548372888745,77
394,-322.9449879407672,77
395,-480.2206543632856,77
396,-470.80404634361025,77
397,-509.8968237367082,78
398,-354.3614565019805,78
399,-358.8355726907118,78
400,-393.04892116476276,78
401,-409.3276568051584,78
402,-451.66221356060026,79
403,-220.7423460703656,79
404,-153.34113933493674,79
405,-59.0492524931921,79
406,-144.9469038194062,80
407,-446.37982589157,80
408,-44.87271584824603,80
409,-286.59928559689325,80
