episode,return,update
1,-112.98258913180378,1
2,-124.24432830801098,1
3,-129.41253565632627,1
4,-426.5250858116245,1
5,-118.91563709925083,1
6,-102.86828299298435,2
7,-93.76663582591782,2
8,-143.72069762266676,2
9,-66.07142352571186,2
10,-379.55860866032737,2
11,-99.46189943888935,2
12,-78.58886459245636,3
13,-99.49797656963399,3
14,-87.26778148526824,3
15,-103.56885110056753,3
16,-364.15814082124234,3
17,-139.10194216433132,3
18,-200.8676834995157,4
19,-98.06462364795263,4
20,-102.50403792224867,4
21,-500.30353774557335,4
22,-103.68290494801921,4
23,-80.47352340796172,5
24,-231.01524111876708,5
25,-223.24156366462373,5
26,-173.19979933281348,5
27,-124.8111329573108,5
28,-176.71062308577916,6
29,-336.69370379443114,6
30,-159.91947248240425,6
31,-130.17784066436474,6
32,-114.40142653529824,6
33,-206.86341657483442,7
34,-96.61270405895596,7
35,-2.565085374354183,7
36,-115.41040775200058,7
37,-136.81674166339673,7
38,-81.75105857013129,7
39,-116.09833089137734,7
40,-10.189919880224622,8
41,-124.87510493124086,8
42,-132.49416509870912,8
43,-95.3455669846375,8
44,-314.2455360489293,8
45,-246.33721790642542,8
46,-112.74280678714747,9
47,-92.88873723616398,9
48,-103.4259248370017,9
49,-100.10707228326739,9
50,-124.50878135573491,9
51,-68.0556278862646,9
52,-242.33166149514253,10
53,-164.0902042562891,10
54,-126.47900814190463,10
55,-188.31186324324517,10
56,-222.0486204225615,10
57,-123.16599089543594,11
58,-104.58894074299873,11
59,-135.34693143044478,11
60,-116.90171805373757,11
61,-258.6277132602251,11
62,-235.45220624311474,11
63,-265.0277511535594,12
64,-2.3404622443836587,12
65,-125.77041005997789,12
66,-199.28540219150258,12
67,-84.30295388274432,12
68,-78.46914497522457,12
69,-152.19164026581387,13
70,-177.31793568314703,13
71,-314.24234899890035,13
72,-67.72834809555951,13
73,-111.31974571563349,13
74,-85.17411877859516,13
75,-256.08031658710524,13
76,-217.24496397727637,14
77,-122.44474684718543,14
78,-108.15665793038221,14
79,-108.24304412937417,14
80,-231.18313276307617,14
81,-106.88535166610278,14
82,-94.31480791614001,15
83,-268.10647491471013,15
84,-107.09655850809312,15
85,-171.60164308169897,15
86,-119.42563021550698,15
87,-149.34314172148657,15
88,-373.6304469115798,16
89,-91.56495183543748,16
90,-88.44643285539308,16
91,-220.48279535471488,16
92,-100.22791967381542,16
93,40.591552042594515,17
94,-175.93772495665803,17
95,-174.84676328227448,17
96,-159.91876058276807,17
97,-93.91297781133586,17
98,-138.7995877688285,18
99,-118.94503332394797,18
100,-163.48590485086663,18
101,-218.48881640417363,18
102,-72.57831073949374,18
103,-94.65026521474371,18
104,-115.8256133690627,19
105,-195.60519489749487,19
106,-80.69219741391086,19
107,-135.8599688291672,19
108,-124.45113364931179,19
109,-277.26370726509356,20
110,-87.08960025066459,20
111,-114.81642775412865,20
112,-202.4876080902578,20
113,-94.48706329964314,20
114,-96.69524681903053,20
115,-236.67195326968718,21
116,-66.28316896592943,21
117,-107.58179599142517,21
118,-154.46767663050335,21
119,-138.56299441315088,21
120,-143.68897241775392,22
121,-244.6794399594946,22
122,-126.65531826675524,22
123,-345.8657808830801,22
124,-41.00888285553519,22
125,-325.3238586800309,23
126,-96.91620636648055,23
127,-102.41139286005506,23
128,-129.79316124123665,23
129,-73.16536359657664,23
130,-128.90271755084706,23
131,-229.19961421716187,24
132,15.817136024344833,24
133,-99.53104575109957,24
134,-338.2737157722447,24
135,-60.28483179186462,24
136,-108.71353814272413,24
137,-234.60335038905347,25
138,-88.19490695154276,25
139,-125.44676468597598,25
140,-277.17555698542674,25
141,-141.3484524337,26
142,-151.28257664323485,26
143,-108.61589008284619,26
144,-102.81225489498343,26
145,-134.86867696738466,26
146,-166.25655640701166,27
147,-147.01143764876701,27
148,-98.74983949619603,27
149,-315.52138590219624,27
150,-286.02961768742165,27
151,-95.63493681102779,28
152,-425.2089872831946,28
153,-98.25390322378678,28
154,-205.78557307550176,28
155,-232.4675444876486,28
156,-80.26018321903933,29
157,-159.529348793189,29
158,-321.3135603561733,29
159,-225.5723534902493,29
160,-63.26082187722039,29
161,-177.9669678598927,30
162,-112.72231342373803,30
163,-93.96439922212645,30
164,-268.88444244135826,30
165,-172.77329984269116,30
166,-109.95486892733008,31
167,-5.6344816462245575,31
168,-242.26116542544,31
169,-188.89228444840342,31
170,-129.44721106614264,31
171,-119.46448238702877,32
172,-159.02800850096713,32
173,-208.37177093120084,32
174,-202.50554071550087,32
175,-115.16711449217055,32
176,-128.10146915867392,33
177,-240.07608496027657,33
178,-210.75037191878698,33
179,-262.8808995125254,33
180,-78.46515493499192,33
181,25.263310761205545,34
182,-266.75814956800775,34
183,-109.84147479996581,34
184,-81.38484445304749,34
185,-257.3985364532423,34
186,-498.7736799189951,35
187,-96.44306780534721,35
188,-91.6299322974577,35
189,-126.38705604983454,35
190,-90.16397804447611,35
191,-296.0603979217591,36
192,-155.1170126278983,36
193,-231.58726301712605,36
194,-134.7792857837228,36
195,-46.84776363568932,36
196,-433.71786265165946,36
197,-125.59483611057424,37
198,-209.03766063011096,37
199,-376.76448492453534,37
200,-56.369195718387516,37
201,-316.49004438740025,38
202,-151.95070305357547,38
203,-61.88042563058535,38
204,-156.80717404574898,38
205,-164.40456457792902,38
206,-188.96014388689923,39
207,-168.03713110087148,39
208,-423.5120767859407,39
209,-243.74846589402867,39
210,-55.262315852229285,39
211,-176.25983640275115,40
212,-80.33655111112371,40
213,-33.78353832204948,40
214,-286.0789010502112,40
215,-275.0746404583666,40
216,-164.48879178284716,41
217,45.13309278729673,41
218,-126.13325861847412,41
219,-182.0899914811847,41
220,-121.62505818987046,42
221,-107.3914978483313,42
222,-75.65638213658816,42
223,-157.20919651287008,42
224,-299.90322439621895,42
225,-265.0229244938971,43
226,-417.33970386147723,43
227,-217.40538915691116,43
228,-356.10184221693453,43
229,-175.41322035252287,44
230,-81.91100271163728,44
231,-291.25442344689446,44
232,-155.83038671795413,44
233,-244.91608860343703,45
234,-458.8333681406091,45
235,-450.1934215994294,45
236,-547.4811213569258,45
237,-174.68833216711442,46
238,-138.75092889798532,46
239,-116.84390048382633,46
240,-36.27420234521914,47
241,-50.12501498564188,47
242,-47.5047614304805,47
243,-142.9288605183421,47
244,-545.0976381459308,48
245,-153.93208888214275,48
246,-266.7929627053536,48
247,-479.40398483582686,49
248,-250.62152601372534,49
249,-269.69035917123153,49
250,-488.9920550508911,49
251,-660.4552658036532,50
252,-366.1602450020491,50
253,-337.36450873609135,50
254,-447.49079149950717,50
255,-475.65544067066764,51
256,-350.27245090912066,51
257,-321.32546281204725,51
258,-587.6481003723112,52
259,-414.9374956464093,52
260,-269.0123980152684,52
261,-405.5253443931729,52
262,-645.7448882999223,53
263,-318.24908002588734,53
264,-282.93852140851914,53
265,-521.3264430823378,53
266,-605.3338637170864,54
267,-185.6302119202523,54
268,-404.8275954248346,54
269,-500.9043001259076,55
270,-389.22385708164256,55
271,-848.0550785371533,56
272,-706.6186882647643,56
273,-444.70054806332945,56
274,-464.3061834347354,57
275,-616.0932395035702,57
276,-573.2124509967331,57
277,-554.9925392990774,57
278,-342.3615615109735,57
279,-173.9247930796359,57
280,-396.6753898421161,58
281,-672.963131030406,58
282,-875.7608847959206,59
283,-798.279644421636,59
284,-441.92512994003624,59
285,-784.9154852799969,59
286,-515.6863003208609,60
287,-244.0232932374722,60
288,-414.7698837602609,60
289,-354.54936468087953,60
290,-397.6251662339898,61
291,-724.352007446197,61
292,-788.8661724393352,61
293,-508.1178449681199,62
294,-488.55952332354923,62
295,-377.74861148869786,62
296,-444.83034699058,62
297,-479.4757671014033,62
298,-446.7103990014176,63
299,-344.0082348678398,63
300,-609.9732219687116,63
301,-565.3194482940783,63
302,-388.05727351320627,63
303,-464.7979332611535,64
304,-442.06440728287726,64
305,-685.4333536292759,64
306,-363.1499553250281,65
307,-418.86270092810616,65
308,-752.6541179720474,65
309,-372.29854354603947,65
310,-325.08614732698175,66
311,-435.37123405967645,66
312,-295.0923332612565,66
313,-306.48942904880846,66
314,-336.56176881430133,66
315,-64.7544846576395,67
316,-427.98756341874383,67
317,-644.2295457076301,67
318,-505.20941798116223,67
319,-510.2102491216287,68
320,-568.764432290171,68
321,-110.4466936740979,68
322,-182.64418401459307,68
323,-523.9537635649176,69
324,-442.45173350213236,69
325,-333.0466213504454,69
326,-398.4335012931499,69
327,-407.18879732287945,70
328,-239.2470885988167,70
329,-227.73939173356845,70
330,-519.6702716618603,70
331,-448.57542829188856,71
332,-56.69323779459653,71
333,-283.1748063887233,71
334,-458.8833032688785,72
335,-542.1699677487275,72
336,-380.4854005612462,72
337,-282.4690538610163,72
338,-369.593326472608,73
339,-168.80410041647758,73
340,-367.55699472675735,73
341,-125.70812164882953,73
342,-372.2938349440876,74
343,-449.5777119073447,74
344,-149.0588085272368,74
345,-370.51254991516646,74
346,-11.522757527102456,75
347,-324.51600410873334,75
348,-331.8555698812235,75
349,-297.4813554916588,76
350,-302.6000874239513,76
351,-563.8846624980258,76
352,-241.88404147884086,76
353,-200.21926215330834,76
354,-558.1448567994321,76
355,-292.57925047206584,77
356,-264.2286859688955,77
357,-585.4916120465055,77
358,-484.2968168041631,78
359,-127.48188509598255,78
360,-361.7340439646147,78
361,-181.7797546752252,78
362,-258.4122365812034,79
363,-22.754085182381246,79
364,-89.51439719882957,79
365,-174.46520148366915,79
366,-104.51188997837053,80
367,-70.7683196038339,80
368,-370.5230898104388,80
369,-254.24964306674704,80
370,-364.3539757261189,80
371,-139.1175341016116,80
