episode,return,update
1,-112.98258913180378,1
2,-124.24432830801098,1
3,-129.41253565632627,1
4,-426.5250858116245,1
5,-118.91563709925083,1
6,-102.86828299298435,2
7,-93.76663582591782,2
8,-185.38351290283143,2
9,-62.21764774955045,2
10,-379.55860866032737,2
11,-99.46189943888935,2
12,-76.92894456562705,3
13,-99.49797656963399,3
14,-87.26778148526824,3
15,-92.39134179136202,3
16,-351.1084479734385,3
17,-121.20272450746916,3
18,-217.47500864221735,4
19,-99.3639119693408,4
20,-85.90689549472992,4
21,-322.4239667121358,4
22,-102.26065490446352,4
23,-70.36302557020203,4
24,-322.60097052811795,5
25,-299.6096676906016,5
26,-223.89971266072814,5
27,-212.5692282303652,5
28,-270.447827636714,5
29,-73.9734517081778,6
30,-229.67115649939018,6
31,-145.40116685113554,6
32,-127.11089855376693,6
33,-109.5545206129759,6
34,-124.89775120206099,7
35,-88.76797513021577,7
36,-208.49961285323926,7
37,-212.2461592712036,7
38,-140.06190424925606,7
39,-127.0230901227345,7
40,-111.8431460378478,8
41,-87.78260520826417,8
42,-80.42988948282387,8
43,-114.68565699836952,8
44,-240.9644029510752,8
45,-129.94557979614711,8
46,-189.56485230469664,8
47,-116.47756087733724,9
48,-178.57569997215222,9
49,-82.77197994913755,9
50,-117.20990815122848,9
51,-121.55218490757305,9
52,-108.20179562433351,10
53,-72.73473990533546,10
54,-5.043097279271734,10
55,-85.43685333093273,10
56,-215.00874483833792,10
57,-121.6516319814601,10
58,30.81199211850182,11
59,-377.5795634148354,11
60,-91.19292144495603,11
61,-251.33367959711876,11
62,-79.05070922460605,11
63,-211.08027723229094,12
64,75.64354336637271,14
65,-211.92453566469334,14
66,-74.88740422757792,14
67,-103.68191569470113,14
68,-132.91970700240822,14
69,-100.45990756224329,14
70,-103.68741140702437,14
71,-107.34692605850778,15
72,-94.57308775594196,15
73,-104.42712135370687,15
74,-78.25810936760365,15
75,-235.05477572331472,15
76,-208.77153674569183,16
77,-186.092151708801,16
78,-164.13864254977642,16
79,-91.73990392094571,16
80,-247.62454327721025,16
81,32.97764656615206,16
82,-77.76126312441932,17
83,-156.75492547611145,17
84,-210.48638673885364,17
85,-110.97782026504746,17
86,-235.8826523118808,17
87,-256.83803937206653,17
88,-296.63206662941127,18
89,-85.64740114523076,18
90,-75.77060228577693,18
91,-486.0364503061589,18
92,-138.77518787428625,18
93,-86.5634019677104,19
94,-103.57547718243558,19
95,-253.82738089679202,19
96,-123.82675592499822,19
97,-118.27497647664906,19
98,-159.57181256615598,20
99,-121.77619207970449,20
100,-151.1283620345298,20
101,-225.75352085421724,20
102,-65.10622276834073,20
103,-169.88262623665486,21
104,-64.26080116842938,21
105,-279.2258771975799,21
106,-222.77539976098367,21
107,-294.24467817014863,21
108,-167.38921434276259,21
109,-161.16672514639706,22
110,-102.9961345662344,22
111,-276.7059300464447,22
112,-451.86124722405845,22
113,-185.58001655194033,22
114,-148.43346817904575,23
115,-348.7397683827486,23
116,-40.79787441775676,23
117,-64.9726410304926,23
118,-408.48835463922916,23
119,-167.70035455920504,24
120,-91.96715565351087,24
121,-116.3604442685241,24
122,-113.330352817403,24
123,-150.4794634321781,24
124,-332.6777111211297,25
125,-50.873943347686094,25
126,-42.26874760927822,25
127,-355.20300125314395,25
128,-103.02664351483556,25
129,-424.03640404055636,25
130,-122.41225845925786,26
131,-64.86700218255714,26
132,-62.09342585024156,26
133,-121.23519284732532,26
134,-149.39731117458075,26
135,-189.97360922713807,27
136,-402.02411237052075,27
137,-511.5483994678386,27
138,-81.71522745676018,27
139,-631.8994929646256,27
140,-337.6292030134754,28
141,-245.52547670607262,28
142,-213.73498711750779,28
143,-239.31107485680178,28
144,-164.88786013371566,29
145,-225.45888834279828,29
146,-370.2379409485813,29
147,-290.1394745802755,29
148,-368.8196493626589,29
149,-368.24874430655416,30
150,-600.8847257278,30
151,-60.22842938028125,30
152,-189.0791836790119,30
153,-454.8684070819497,31
154,-145.47266542280346,31
155,-271.8350741945367,31
156,-261.9302376210094,31
157,-100.34247702001969,32
158,-371.07128484181123,32
159,-396.8564522700858,32
160,-220.38758682978275,32
161,-310.7799794160287,32
162,-240.93582136675383,33
163,-124.52307829915226,33
164,-122.48551991147181,33
165,-82.44673852404094,33
166,-116.48673030507129,33
167,-369.5607665428138,33
168,-257.77611672729927,34
169,-397.90560391507194,34
170,-201.8736473465206,34
171,-75.92623986399224,34
172,-315.35803443225996,34
173,-292.21077607154393,35
174,-387.5798532697872,35
175,-97.58262504197064,35
176,-371.1949329780259,35
177,-349.271288745461,36
178,-110.97786404562049,36
179,-372.99727151229143,36
180,-85.99814085199527,36
181,-10.251093326976942,36
182,-265.0824231723577,36
183,-99.81040769231622,37
184,-234.3461315491681,37
185,-346.08235352000696,37
186,-93.70835892970871,37
187,-149.73303597241286,37
188,-162.0733485790559,38
189,-244.2676871158672,38
190,-219.1703342981205,38
191,-132.48517078932042,38
192,-237.34477704019665,39
193,-26.17799654398722,39
194,-99.0191277435136,39
195,-262.46903154719087,39
196,-176.99458396084233,39
197,-231.59087332152933,40
198,-273.3968777574535,40
199,-273.4726566544248,40
200,-399.2712414917055,40
201,-388.6646454606311,40
202,-357.48612887629116,41
203,-426.6447732420147,41
204,-121.23716913843698,41
205,-139.07511290232569,41
206,-271.44426729342024,41
207,-322.79497924384185,42
208,-33.661649631812224,42
209,-405.0477631951052,42
210,-182.32765242413535,42
211,-269.4000567605789,42
212,-369.0157413531999,43
213,-85.47441350401353,43
214,-300.2924558539844,43
215,-458.1536460238165,43
216,-191.7671407783971,44
217,-112.07933505778374,44
218,-287.6614072235775,44
219,-249.25452046103203,44
220,-289.14105706008445,44
221,-27.63530151211347,45
222,-107.48775436377487,45
223,-89.61492056318718,45
224,-74.0413653823184,45
225,-399.6717855640043,45
226,-515.6187322184163,46
227,-239.9545498158172,46
228,-400.9421548846302,46
229,-175.4232273647125,46
230,-146.42151580619586,46
231,-89.56859494247378,47
232,-281.1898088985036,47
233,-481.2483405941774,47
234,-149.13001009044484,47
235,-117.08817654300688,47
236,-96.66104592499342,48
237,-83.38313709443318,48
238,-142.6784711311946,48
239,-160.17129047612278,48
240,-152.46194141722276,48
241,-371.1342734938583,49
242,-101.99413802061883,49
243,-177.94944477989196,49
244,-389.3107719226496,49
245,-91.08054233603904,49
246,-338.47725836613085,50
247,-312.10497215400596,50
248,-497.41423685973166,50
249,-321.37534441355706,50
250,-82.124704861829,50
251,-565.1963057858163,51
252,-113.00814745017148,51
253,-326.8666322704001,51
254,-182.43906206867445,51
255,-87.03410528916176,51
256,-284.3436157662157,52
257,-72.4761098525137,52
258,-258.2613285292433,52
259,-208.23092939700126,52
260,-232.8846782422884,53
261,-165.7638948277128,53
262,-362.5772591784956,53
263,-102.39111258278845,53
264,-222.76837225874692,53
265,-86.57104316877196,53
266,-37.35305701949858,54
267,-386.7014048719324,54
268,-111.96684477848449,54
269,-551.5960497008869,54
270,-25.29221675987651,54
271,-69.48135349861661,54
272,-397.7851691052856,55
273,-536.441673924212,55
274,-350.411702786515,55
275,-324.0736352058303,55
276,-251.9982306422174,56
277,-94.28154501701002,56
278,-192.23664298093428,56
279,-166.70099047672198,56
280,-88.94429885355486,56
281,-528.9359113691645,57
282,-441.6434039720657,57
283,-356.3624951468693,57
284,-361.41098149023316,57
285,-493.6540178539934,58
286,-148.734286918628,58
287,-203.51254907717816,58
288,-294.2811751122094,58
289,-257.05656949737374,59
290,-344.6704483140122,59
291,-261.05417952599214,59
292,-524.4300397842794,59
293,-410.3276914240656,59
294,-227.27349913716364,60
295,-331.08460155719746,60
296,-398.137124746496,60
297,-369.48000177140995,60
298,-207.9817324194126,60
299,-207.25638079789456,61
300,-378.56786893627384,61
301,-590.5745324366713,61
302,-525.4704077532313,61
303,-391.8822838576274,61
304,-321.84263354041957,62
305,-12.592958667800048,62
306,-155.02138544977618,62
307,-480.3318698346884,62
308,-213.82442525043012,63
309,-368.6228814850951,63
310,-147.2120085034283,63
311,-473.27881764534874,63
312,-398.55180721687975,63
313,-130.74820909508037,63
314,-379.8456223936768,64
315,-37.2523098803991,64
316,-459.870876396421,64
317,-126.78769975037892,64
318,-111.90251509933617,64
319,-399.99358233612963,65
320,-79.99032210287311,65
321,-69.44982694006994,65
322,-122.24546256604003,65
323,-280.85167720633524,65
324,-251.16575869946388,65
325,-67.57537108280654,66
326,-85.96399123223969,66
327,-134.3177320128765,66
328,-313.10954234472257,66
329,-82.43910018220022,66
330,-131.6462847477497,67
331,-88.39036674028742,67
332,-42.49304776351463,67
333,-83.75177011794591,67
334,-123.68825683319017,67
335,-500.749792709375,68
336,-206.4646665902914,68
337,-5.3716395301646855,68
338,-289.85212261224393,68
339,-106.64123577509157,68
340,-83.29140280875089,68
341,-308.89519498368577,69
342,-108.94034717645316,69
343,-105.31933685600822,69
344,-157.35028421134223,69
345,-405.8974640319189,69
346,-269.25248801345265,70
347,-168.55100420251125,70
348,-61.33316534275001,70
349,-210.98462150561124,70
350,-334.0456948424211,70
351,-110.58500297267216,70
352,-350.1673373659869,71
353,-75.97990720035281,71
354,-120.0593652286174,71
355,-381.52314869626724,71
356,-124.04001277689817,71
357,-69.94300534723678,72
358,-416.8398701958714,72
359,-144.49432308906668,72
360,-309.72535521802195,72
361,-129.88500308563638,72
362,-122.79267596019821,73
363,-273.9290206946564,73
364,-368.75994932721085,73
365,-382.5409188963968,73
366,-199.79988847395921,73
367,-93.46653970737808,74
368,-321.58635262944784,74
369,-124.45123393707634,74
370,-127.28743182011115,74
371,-226.52609138031744,74
372,-318.1340733669406,75
373,-66.40397419025723,75
374,-210.78612293166802,75
375,-350.5398988359502,75
376,-321.5678721030215,75
377,-105.16604472132668,76
378,-51.754283301123415,76
379,-359.936869626085,76
380,-160.70988349844464,76
381,-389.85379902527114,76
382,-86.95056379993439,77
383,-317.67620361142684,77
384,-110.60904742510769,77
385,-424.1582355997192,77
386,-179.06324696330768,78
387,-194.92307729343224,78
388,-134.0946840044474,78
389,-292.76334715956443,78
390,-527.9639246148259,78
391,-99.51728929147775,79
392,-349.214374819185,79
393,-359.4979063826618,79
394,-124.19893759728166,79
395,-173.04260745168963,79
396,-118.93942926063383,79
397,-317.24393888588327,80
398,-314.9493125180745,80
399,-229.4315289268926,80
400,-115.28972111674712,80
