episode,return,update
1,-190.3909486826413,1
2,-74.75273051535578,1
3,-436.7892833496875,1
4,-287.7702257016881,1
5,-287.01035633446975,1
6,-141.85905069326697,2
7,-110.94941631217395,2
8,-403.9418595960118,2
9,-71.26945952414239,2
10,-261.98705045814467,2
11,-137.0294528127237,2
12,-209.76013805010666,3
13,-157.61073833053374,3
14,-317.56396781162766,3
15,-159.70176885690847,3
16,-501.35905263789795,3
17,-294.11740473918485,3
18,-176.38412557447396,4
19,-413.71492676459314,4
20,-287.51096200909126,4
21,-139.41325768275073,4
22,-5.68609245990217,4
23,-145.26348726808553,4
24,-151.05925591352033,5
25,-302.1174057974254,5
26,-393.46581765028264,5
27,-339.74528960259664,5
28,-333.9806557203365,5
29,-70.71415350561213,6
30,-96.13364651660926,6
31,-110.11874382183044,6
32,-347.455519551861,6
33,-173.15031370570864,6
34,-137.46976098758202,6
35,-74.46654040669796,7
36,-186.2367093703054,7
37,-114.13577806281097,7
38,-103.90055855571688,7
39,-75.65087007853478,7
40,-65.94011929128536,7
41,-122.67318724240877,8
42,-112.13885200381776,8
43,-114.61968887595901,8
44,-134.4844467411239,8
45,-131.8341981731355,8
46,-110.45629178864371,8
47,-199.38349868695803,9
48,-343.50863991127693,9
49,-70.30951992752208,9
50,-128.68459907785763,9
51,-114.91990007540934,9
52,-206.47537802126928,9
53,-175.05565311865948,10
54,-133.74876320489176,10
55,-91.70571034500198,10
56,-56.42376504444475,10
57,-308.875041365519,10
