episode,return,update
1,-191.698402776413,1
2,-118.86290215114177,1
3,-120.66207473944148,1
4,-250.78467036895032,1
5,-102.6489177863196,1
6,-108.86245424338799,2
7,-231.12381109327546,2
8,-215.01687688121848,2
9,-105.7126808233275,2
10,-415.6120396803661,2
11,-84.84922055016429,2
12,-135.72860642739974,3
13,-126.83413382091925,3
14,-141.2998183279936,3
15,-84.6812211955703,3
16,-352.6772037859971,3
17,-92.0715125306502,3
18,-275.952931363178,4
19,-96.90923074504784,4
20,-83.6648564629953,4
21,-201.1922403672674,4
22,-142.34218034090742,4
23,-92.62892308501455,4
24,-111.33012571318142,5
25,-169.72884038278235,5
26,-212.05767481290175,5
27,-283.0473748260598,5
28,-175.52302109402166,5
29,-74.23194322774226,5
30,-99.57342900416687,6
31,-101.93571152935252,6
32,-129.0073610561193,6
33,-78.02893396789399,6
34,-120.53417389323221,6
35,-186.64052785291625,6
36,-96.21443085223785,7
37,-108.49464524939567,7
38,-90.32738585532402,7
39,-167.78800320266083,7
40,-97.07771297259126,7
41,-76.5071474026412,7
42,-135.61582932168446,8
43,-79.76630061488022,8
44,-273.44772914102055,8
45,-116.26390172163013,8
46,-89.98372638208718,8
47,-63.157656414503734,8
48,-97.87050157501477,9
49,-78.34518499519336,9
50,-131.23715851606258,9
51,-123.72148990665386,9
52,-207.42680647433994,9
53,-68.36485135356736,10
54,-355.2374132408589,10
55,-351.86912595300976,10
56,-249.870712329966,10
57,-118.78692145863002,10
58,-108.67921095643472,10
