episode,return,update
1,-193.2412629490971,1
2,-128.35159185877194,1
3,-114.04253609067956,1
4,-318.46564639362657,1
5,-117.71590786264133,1
6,-120.47868709123563,2
7,-292.4128234408517,2
8,-167.4948486196907,2
9,-100.52034790667152,2
10,-457.1093705569676,2
11,-96.38889599013713,2
12,-72.56931772981315,3
13,-106.94486061867738,3
14,-153.27904274688746,3
15,-121.24556481637242,3
16,-425.7807838138212,3
17,-83.40437159141668,3
18,-151.47276969609374,4
19,-638.8918728725457,4
20,-260.38538821373345,4
21,-159.3500258625137,4
22,-84.396968171969,4
23,-241.993175629443,5
24,-132.8154307402441,5
25,-85.5544146128284,5
26,-349.3489167065708,5
27,-146.60225308067106,5
28,-214.27474868418528,6
29,-98.5976308908579,6
30,-160.20008525528738,6
31,-149.49950026755027,6
32,-152.83967577520096,6
33,-355.16602247269947,7
34,-142.8142545649618,7
35,-122.80872373378406,7
36,-195.14417739158085,7
37,-361.3957916912908,7
38,-153.96429117688677,7
39,-186.42680062072043,8
40,-247.60118765209285,8
41,-112.71187089851192,8
42,-117.67951241717235,8
43,-310.22240474509323,9
44,-305.5432540160383,9
45,-396.51363258065027,9
46,-119.63961860745268,9
47,-86.30626000025183,9
48,-82.7406671892519,10
49,-527.2816169210823,10
50,-334.3721990970057,10
51,-103.36775499257335,10
