episode,return,update
1,-162.70753046002298,1
2,-185.74491198717166,1
3,-212.99747771064662,1
4,-222.76917295025277,1
5,-186.2785600646379,1
6,-188.44915807601438,2
7,-186.99264072011118,2
8,-187.2919317002157,2
9,-181.68803659037178,2
10,-199.73295423749505,2
11,-179.58117617410025,2
12,-186.54935516961197,3
13,-184.00745584486668,3
14,-209.93947727429898,3
15,-185.64409101373272,3
16,-214.16012686327596,3
17,-198.52129443943238,3
18,-194.84199814883434,3
19,-187.247278187459,4
20,-218.8718300327311,4
21,-189.08171130735744,4
22,-183.2437910639535,4
23,-181.63742411328758,4
24,-213.9944490361546,5
25,-185.46681706610286,5
26,-192.7245336819835,5
27,-227.2113057755591,5
28,-227.8338854142405,5
29,-179.9292502129612,6
30,-182.00692426366822,6
31,-192.59618078430145,6
32,-200.36011587520744,6
33,-228.92042170718128,6
34,-238.85172787672093,7
35,-175.7832166213042,7
36,-204.3385591963805,7
37,-242.69984094980447,7
38,-187.90598895964544,7
39,-177.2068168643271,8
40,-209.9610545553886,8
41,-202.74131900053376,8
42,-179.291380208782,8
43,-177.29762601498447,8
44,-197.93060838346787,9
45,-179.01027075705377,9
46,-201.18431659274918,9
47,-172.68466660183662,9
48,-213.53087922907753,9
49,-175.9751735243267,10
50,-249.12174626579366,10
51,-189.04007332808746,10
52,-178.1687506488879,10
53,-227.25632525319895,10
