episode,return,update
1,-165.86127805840826,1
2,-180.7122014620754,1
3,-219.0142764867738,1
4,-220.0704584527111,1
5,-188.47599851770312,1
6,-189.61969326497905,2
7,-179.33203269743788,2
8,-187.93499525424954,2
9,-186.6548348566189,2
10,-203.1337036921084,2
11,-179.58117617410025,2
12,-187.76197778852753,3
13,-195.53047477594583,3
14,-209.18450600654018,3
15,-184.06209501764064,3
16,-234.8428883172826,3
17,-199.47891312371115,3
18,-194.33640410515488,3
19,-231.012156087364,4
20,-218.79910153640284,4
21,-183.2385078000744,4
22,-200.26468332816304,4
23,-195.2339678891721,4
24,-217.3341652440765,5
25,-188.64970258977985,5
26,-222.87483157230878,5
27,-249.75975939862684,5
28,-245.0918603903563,5
29,-177.09787583484106,6
30,-182.94988723671062,6
31,-179.0987701996743,6
32,-182.3054282638243,6
33,-271.0398304523506,6
34,-189.02266255435853,6
35,-199.7947463773553,7
36,-227.51397282045937,7
37,-261.30790427473414,7
38,-179.90875221934434,7
39,-177.72866813671442,7
40,-290.4557071728234,8
41,-207.1830631680903,8
42,-247.58847594206412,8
43,-178.89517563639527,8
44,-222.03718677486134,8
45,-205.1891537596926,8
46,-225.68488483994648,9
47,-191.26482112416022,9
48,-180.98038343896576,9
49,-213.89438333654948,9
50,-205.74248658499707,10
51,-186.25704374092058,10
52,-172.27146281020475,10
53,-187.34373265258532,10
54,-179.34905662374044,10
