episode,return,update
1,-188.65041924856058,1
2,-179.02856970380358,1
3,-221.7444817277809,1
4,-189.771725677038,1
5,-190.14234929334842,1
6,-248.74021382723913,2
7,-179.58618725910912,2
8,-264.00245769156527,2
9,-182.61218629139478,2
10,-254.8820304273122,2
11,-206.37443980659214,2
12,-201.26401262646573,3
13,-242.44138634568145,3
14,-177.18242671461235,3
15,-187.99592706617963,3
16,-251.45594160244434,3
17,-199.34625982371216,3
18,-221.21407133498442,4
19,-277.4498947521535,4
20,-194.75165504341467,4
21,-222.26495416483522,4
22,-203.2297804211606,4
23,-180.18602469916854,4
24,-207.1027561991205,5
25,-231.74885888381644,5
26,-199.48434203508964,5
27,-204.91331258538884,5
28,-231.47750140551136,6
29,-215.51317201870143,6
30,-238.20741288805448,6
31,-206.2341431791291,6
32,-227.90634529865966,6
33,-221.26803106907107,6
34,-234.39622810214183,7
35,-161.38881197420898,7
36,-232.78395574104044,7
37,-194.7614406170021,7
38,-221.42703553964188,7
39,-207.2355500285658,7
40,-249.64512623111824,8
41,-183.2379479639468,8
42,-200.74469821813528,8
43,-207.73229403884858,8
44,-266.1513798448018,8
45,-236.96426832461142,8
46,-210.7192761653917,8
47,-177.20981820989732,9
48,-183.13417800859725,9
49,-237.37863644090163,9
50,-199.03274476272802,9
51,-234.11048271121825,9
52,-211.00524681657208,9
53,-186.26670761445757,10
54,-242.25967009356663,10
55,-236.54345026287623,10
56,-228.7301091128695,10
57,-240.61566096822054,10
58,-191.64120598549084,10
59,-215.9565716593142,10
