episode,return,update
1,-187.86553759955694,1
2,-177.57769182173104,1
3,-221.7444817277809,1
4,-189.771725677038,1
5,-190.14234929334842,1
6,-260.4627655786069,2
7,-177.63148608466955,2
8,-256.4222520499184,2
9,-188.64867428450407,2
10,-221.85432964629342,2
11,-217.91842686752545,2
12,-184.0446935969962,3
13,-220.73786978242882,3
14,-222.61080209706378,3
15,-186.66801049028038,3
16,-253.67127936159815,3
17,-199.3401134769231,3
18,-220.85771098265005,3
19,-234.14913705499225,4
20,-234.59838592691833,4
21,-208.77404239613915,4
22,-229.4933462048256,4
23,-158.83831722124572,4
24,-212.34917053690876,5
25,-195.8212383175569,5
26,-199.18667714970664,5
27,-203.61573845141749,5
28,-202.51099137558714,5
29,-211.29548158003075,5
30,-238.62922900628325,6
31,-191.34858449056296,6
32,-193.57288688428142,6
33,-210.34553621478267,6
34,-218.63380030816774,6
35,-210.83765042920987,7
36,-230.00258616685642,7
37,-204.79720032644167,7
38,-192.80119564140716,7
39,-206.4596168143022,7
40,-250.5855892474321,7
41,-183.4050991823068,8
42,-168.4018113785491,8
43,-158.4881482982597,8
44,-261.05847195599773,8
45,-209.12009279122086,8
46,-213.97201536698054,8
47,-178.83093876358126,9
48,-186.24856914139718,9
49,-235.96241651770018,9
50,-231.48613436272947,9
51,-246.92789285313546,9
52,-200.03845195232844,9
53,-184.2719843521758,10
54,-199.19464516416497,10
55,-226.666184010634,10
56,-222.248504351806,10
57,-219.91871708513463,10
58,-194.54910560688367,10
