episode,return,best_return,steps
1,-264.1934534893836,-264.1934534893836,87
2,-229.4620121398607,-229.4620121398607,101
3,-199.43045612291846,-199.43045612291846,86
4,-188.54662718348277,-188.54662718348277,57
5,-206.49092630349907,-188.54662718348277,122
6,-239.7087725984631,-188.54662718348277,83
7,-176.92793433202417,-176.92793433202417,107
8,-184.71932046235642,-176.92793433202417,71
9,-187.09683883815708,-176.92793433202417,101
10,-242.86438661593314,-176.92793433202417,78
11,-175.10420930702884,-175.10420930702884,105
12,-163.38090588729287,-163.38090588729287,73
13,-162.92185891630731,-162.92185891630731,81
14,-187.22600786457613,-162.92185891630731,59
15,-195.41776024530515,-162.92185891630731,124
16,-216.786593070043,-162.92185891630731,78
17,-138.57935441318386,-138.57935441318386,85
18,-185.6134842974021,-138.57935441318386,99
19,-247.8919373454346,-138.57935441318386,94
20,-139.9382376590462,-138.57935441318386,76
21,-152.60427813736183,-138.57935441318386,86
22,-185.82819829808366,-138.57935441318386,69
23,-204.07564536567406,-138.57935441318386,102
24,-193.11254811710992,-138.57935441318386,90
25,-215.29720318964024,-138.57935441318386,103
26,-205.7511346890316,-138.57935441318386,101
27,-223.927426204077,-138.57935441318386,105
28,-178.71811038958785,-138.57935441318386,67
29,-184.2849906237753,-138.57935441318386,92
30,-179.2799636438671,-138.57935441318386,101
31,-266.1925762140172,-138.57935441318386,112
32,-192.13459255405814,-138.57935441318386,111
33,-158.04552258384643,-138.57935441318386,74
34,-181.69886554647553,-138.57935441318386,74
35,-204.7035896375067,-138.57935441318386,73
36,-230.95555745915544,-138.57935441318386,105
37,-192.1537704065132,-138.57935441318386,67
38,-186.2068725308422,-138.57935441318386,86
39,-210.0230612991881,-138.57935441318386,127
40,-182.89289578962055,-138.57935441318386,65
