episode,return,best_return,epsilon,steps
1,-185.30968739560987,-185.30968739560987,0.9975647931856284,77
2,-238.52852859532578,-185.30968739560987,0.994631890674411,93
3,-190.67130274396376,-185.30968739560987,0.9916766763372289,94
4,-186.3334074331975,-185.30968739560987,0.9897952050829658,60
5,-255.35073274830705,-185.30968739560987,0.9857939542797025,128
6,-172.71493646389033,-172.71493646389033,0.9830529807403857,88
7,-162.65471550951924,-162.65471550951924,0.9790494666472482,129
8,-164.0143428708198,-162.65471550951924,0.976204745750989,92
9,-160.50308414447494,-160.50308414447494,0.9728148802345861,110
10,-181.55510340882338,-160.50308414447494,0.9706334673747763,71
11,-179.3907382103901,-160.50308414447494,0.9667137991524649,128
12,-144.99462096011067,-144.99462096011067,0.964485840689989,73
13,-155.82261363183363,-144.99462096011067,0.9620808625871062,79
14,-254.16631705171125,-144.99462096011067,0.9597731820314376,76
15,-215.42827608392804,-144.99462096011067,0.9568363325414718,97
16,-195.71551088222458,-144.99462096011067,0.9545117704188142,77
17,-130.66466112322513,-130.66466112322513,0.951922549666495,86
18,-189.09019889941413,-130.66466112322513,0.9485316981754458,113
19,-184.49661052347088,-130.66466112322513,0.9450640839836608,116
20,-188.86310310172698,-130.66466112322513,0.9427696985556437,77
21,-151.07159244235442,-130.66466112322513,0.9403624715883395,81
22,-183.14524792813822,-130.66466112322513,0.9383466021678399,68
23,-228.26383508662508,-130.66466112322513,0.9355674723914366,94
24,-205.40415855246357,-130.66466112322513,0.9325910749813427,101
25,-195.78649523986743,-130.66466112322513,0.9291263684761135,118
26,-196.45670564943816,-130.66466112322513,0.9263760835514105,94
27,-181.01962610678365,-130.66466112322513,0.9234305784525088,101
28,-164.5524421314091,-130.66466112322513,0.9215401941883398,65
29,-145.91995176952014,-130.66466112322513,0.9189874221814293,88
30,-187.0497447288344,-130.66466112322513,0.9161533614217584,98
31,-203.8391660977995,-130.66466112322513,0.9132997663505711,99
32,-191.9129439368917,-130.66466112322513,0.9098248031795115,121
33,-145.7072269081151,-130.66466112322513,0.9079352678634768,66
34,-181.53802531519997,-130.66466112322513,0.9056219670017388,81
35,-191.3184479894496,-130.66466112322513,0.9024336003126466,112
36,-228.80726460036692,-130.66466112322513,0.8991155836095834,117
37,-182.5087817574805,-130.66466112322513,0.8973343118739431,63
38,-188.64111325772998,-130.66466112322513,0.8949650942532535,84
39,-172.34685849331626,-130.66466112322513,0.8916480925955915,118
40,-182.10765860921367,-130.66466112322513,0.8900504794327798,57
