episode,return,update
1,-164.82466503109842,1
2,-188.3890844172101,1
3,-212.05391297775424,2
4,-219.03781670970025,2
5,-190.24535007212066,2
6,-207.40534598853446,3
7,-187.77779645451074,3
8,-193.07882008192524,3
9,-193.27336535606838,4
10,-195.79238309260003,4
11,-249.3660422746692,4
12,-221.82877253330275,5
13,-233.46286190303226,5
14,-204.88019430296038,5
15,-184.15359120108417,6
16,-277.818565759528,6
17,-195.68500942156538,7
18,-218.57826851939154,7
19,-270.766109735344,7
20,-176.4764568503915,8
21,-192.8186010178075,8
22,-180.4161802601216,8
