episode,return,best_return,steps
1,-210.0315978173038,-210.0315978173038,77
2,-235.202319379499,-210.0315978173038,100
3,-209.51403845463588,-209.51403845463588,82
4,-192.3096897471599,-192.3096897471599,54
5,-209.25519716943717,-192.3096897471599,111
6,-189.04641639876434,-189.04641639876434,77
7,-189.0291771770412,-189.0291771770412,90
8,-233.5431374745347,-189.0291771770412,76
9,-5.854687415410652,-5.854687415410652,112
10,-187.70880443354278,-5.854687415410652,61
11,-203.68454953871753,-5.854687415410652,91
12,-221.1578670972164,-5.854687415410652,72
13,-204.3509883316389,-5.854687415410652,76
14,-180.7487653833182,-5.854687415410652,66
15,-215.7258909192717,-5.854687415410652,111
16,-205.40627890259606,-5.854687415410652,78
17,-238.8491823961761,-5.854687415410652,80
18,-194.20465481476563,-5.854687415410652,97
19,-191.3045716555085,-5.854687415410652,95
20,-201.6361994356513,-5.854687415410652,74
21,-187.49447142283782,-5.854687415410652,82
22,-178.70996063985123,-5.854687415410652,69
23,-203.53445855081392,-5.854687415410652,101
24,-201.94339851757474,-5.854687415410652,98
25,-186.89431062538247,-5.854687415410652,108
26,-192.06687227962124,-5.854687415410652,83
27,-189.84010133251223,-5.854687415410652,121
28,-205.69376493967323,-5.854687415410652,90
29,-177.860629839033,-5.854687415410652,99
30,-219.72672842128145,-5.854687415410652,90
31,-250.87186822007436,-5.854687415410652,90
32,-160.61999110675023,-5.854687415410652,139
33,-195.96113068561718,-5.854687415410652,68
34,-180.3599677468048,-5.854687415410652,86
35,-187.6158820394563,-5.854687415410652,94
36,-189.23549095207443,-5.854687415410652,118
37,-184.17487568235282,-5.854687415410652,64
38,-180.83705943226204,-5.854687415410652,83
39,-171.60329629868824,-5.854687415410652,117
40,-183.47797701850004,-5.854687415410652,65
