episode,return,best_return,epsilon,steps
1,-182.73851396612073,-182.73851396612073,0.9975647931856284,77
2,-238.1643151286815,-182.73851396612073,0.994631890674411,93
3,-188.97648877721264,-182.73851396612073,0.9916766763372289,94
4,-184.59784725444078,-182.73851396612073,0.9897952050829658,60
5,-253.8919269488228,-182.73851396612073,0.9857939542797025,128
6,-170.6088473487475,-170.6088473487475,0.9830529807403857,88
7,-160.33453866969074,-160.33453866969074,0.9790494666472482,129
8,-161.73122390757825,-160.33453866969074,0.976204745750989,92
9,-99.88946535820783,-99.88946535820783,0.9724458280978403,122
10,-187.83898930212706,-99.88946535820783,0.970019916269619,79
11,-186.80803648954654,-99.88946535820783,0.9666832425351063,109
12,-186.51059881129012,-99.88946535820783,0.964485840689989,72
13,-228.4781658535617,-99.88946535820783,0.961442629390975,100
14,-198.63653185182946,-99.88946535820783,0.9595002910125278,64
15,-206.463883756835,-99.88946535820783,0.9564434552602626,101
16,-201.70202507201054,-99.88946535820783,0.9541801768988544,75
17,-207.79105039372172,-99.88946535820783,0.9517722417675569,80
18,-192.43070273082986,-99.88946535820783,0.9485017476180186,109
19,-203.23111924743495,-99.88946535820783,0.9450640839836608,115
20,-186.03475255775115,-99.88946535820783,0.9427696985556437,77
21,-182.46481585633734,-99.88946535820783,0.9403921508320439,80
22,-181.73170931548742,-99.88946535820783,0.9383762142147769,68
23,-241.32152150136685,-99.88946535820783,0.9356265121909008,93
24,-49.498680441711926,-49.498680441711926,0.9322381091492229,115
25,-201.1590785046209,-49.498680441711926,0.9290384602347512,109
26,-198.841789544637,-49.498680441711926,0.9261716196536309,98
27,-188.6714016345925,-49.498680441711926,0.9230812760862585,106
28,-185.78935118181175,-49.498680441711926,0.9212206880301794,64
29,-184.01714408642172,-49.498680441711926,0.9183793438381523,98
30,-176.28365800513424,-49.498680441711926,0.9156049713013932,96
31,-162.79820598593335,-49.498680441711926,0.9122069455791298,118
32,-197.46881037454483,-49.498680441711926,0.9091372184075479,107
33,-180.33058811827266,-49.498680441711926,0.9072206196183829,67
34,-178.06950279481143,-49.498680441711926,0.9044249343662966,98
35,-199.69236715762074,-49.498680441711926,0.9021495031313699,80
36,-184.72521614648153,-49.498680441711926,0.899058977790891,109
37,-180.26597222594256,-49.498680441711926,0.8972778248027414,63
38,-187.8465390589358,-49.498680441711926,0.8949087651246286,84
39,-224.07711095507062,-49.498680441711926,0.8912273737377732,131
40,-179.30461349185117,-49.498680441711926,0.8894626498615299,63
