episode,return,update
1,-162.70753046002298,1
2,-185.74491198717166,1
3,-212.99747771064662,2
4,-236.81819935896266,2
5,-186.26068634040905,2
6,-206.83110238569688,3
7,-189.5182707026348,3
8,-190.254268561304,3
9,-160.27209872603112,4
10,-123.02929075539909,4
11,-216.24258791726223,4
12,-191.08594019421037,5
13,-237.2588261976623,5
14,-241.1998452834315,5
15,-182.87529034662282,6
16,-276.4608130270978,6
17,-194.92863722830086,6
18,-248.9537198255994,7
19,-195.96227706155554,7
20,-245.44734040698773,8
21,-236.9280549777817,8
22,-239.9924568750481,8
