episode,return,best_return,steps
1,-210.0315978173038,-210.0315978173038,77
2,-235.202319379499,-210.0315978173038,100
3,-209.51403845463588,-209.51403845463588,82
4,-192.3096897471599,-192.3096897471599,54
5,-209.25519716943717,-192.3096897471599,111
6,-189.04641639876434,-189.04641639876434,77
7,-189.0291771770412,-189.0291771770412,90
8,-233.5431374745347,-189.0291771770412,76
9,-144.83626949945548,-144.83626949945548,114
10,-187.81758537114294,-144.83626949945548,58
11,-195.30147053822262,-144.83626949945548,88
12,-212.45543871644966,-144.83626949945548,74
13,-204.75833685549614,-144.83626949945548,74
14,-190.80819387207023,-144.83626949945548,64
15,-212.77770128226427,-144.83626949945548,108
16,-245.2527421363658,-144.83626949945548,86
17,-225.1933954391497,-144.83626949945548,78
18,-188.09599653786734,-144.83626949945548,94
19,-205.91308690608685,-144.83626949945548,91
20,-175.4173536030788,-144.83626949945548,75
21,-186.5972080025315,-144.83626949945548,86
22,-179.44114112301457,-144.83626949945548,67
23,-232.6103008494855,-144.83626949945548,93
24,-219.56787715953905,-144.83626949945548,94
25,-195.68634682561688,-144.83626949945548,107
26,-194.2595013970382,-144.83626949945548,87
27,-189.05370139451065,-144.83626949945548,123
28,-179.94442211764388,-144.83626949945548,63
29,-183.25923386558557,-144.83626949945548,89
30,-187.53287999527709,-144.83626949945548,89
31,-179.43272017857313,-144.83626949945548,103
32,-240.84712770619555,-144.83626949945548,134
33,-199.96952051659608,-144.83626949945548,60
34,-187.94424414576548,-144.83626949945548,74
35,-183.07190950432138,-144.83626949945548,84
36,-210.64787379190759,-144.83626949945548,118
37,-198.84605064782056,-144.83626949945548,66
38,-178.76107609056086,-144.83626949945548,78
39,-163.35769118616776,-144.83626949945548,150
40,-178.31037730147466,-144.83626949945548,59
