episode,return,best_return,epsilon,steps
1,-182.73851396612073,-182.73851396612073,0.9975647931856284,77
2,-238.1643151286815,-182.73851396612073,0.994631890674411,93
3,-188.97648877721264,-182.73851396612073,0.9916766763372289,94
4,-184.59784725444078,-182.73851396612073,0.9897952050829658,60
5,-253.8919269488228,-182.73851396612073,0.9857939542797025,128
6,-170.6088473487475,-170.6088473487475,0.9830529807403857,88
7,-160.33453866969074,-160.33453866969074,0.9790494666472482,129
8,-161.73122390757825,-160.33453866969074,0.976204745750989,92
9,-148.9019608527489,-148.9019608527489,0.9728148802345861,110
10,-178.7015830154518,-148.9019608527489,0.9706334673747763,71
11,-176.95290919275095,-148.9019608527489,0.9667137991524649,128
12,-187.74821118628407,-148.9019608527489,0.964485840689989,73
13,-198.42952824317672,-148.9019608527489,0.9620504603983926,80
14,-209.2427249057891,-148.9019608527489,0.9599854872085524,68
15,-233.57777101486025,-148.9019608527489,0.9571689001637418,93
16,-189.79079108939678,-148.9019608527489,0.9549641393868413,73
17,-197.0007599775905,-148.9019608527489,0.9523435450809625,87
18,-177.82129598511327,-148.9019608527489,0.9490709789624087,109
19,-206.62783910462085,-148.9019608527489,0.9456908481843268,113
20,-184.12641449802206,-148.9019608527489,0.9430375696438645,89
21,-206.6277113234324,-148.9019608527489,0.9408374582250308,74
22,-187.92972234348704,-148.9019608527489,0.9388797700635142,66
23,-213.7584097951358,-148.9019608527489,0.9362171267153282,90
24,-242.1175462286871,-148.9019608527489,0.9333268740842058,98
25,-204.4996932108235,-148.9019608527489,0.929155673176805,142
26,-196.48264908507736,-148.9019608527489,0.9263468715021624,96
27,-181.7981809516953,-148.9019608527489,0.9232268017590752,107
28,-187.2236849056123,-148.9019608527489,0.9214239965757943,62
29,-185.12941189799824,-148.9019608527489,0.9189294916176575,86
30,-187.06418332306595,-148.9019608527489,0.9161822336816741,95
31,-213.13347962351494,-148.9019608527489,0.913213440690291,103
32,-179.75493928106502,-148.9019608527489,0.909681510986996,123
33,-183.6078357767345,-148.9019608527489,0.9078208841201807,65
34,-179.38831719496378,-148.9019608527489,0.9055364090830059,80
35,-174.3126372815363,-148.9019608527489,0.9029452139415745,91
36,-199.08003267999842,-148.9019608527489,0.9001067965522486,100
37,-180.03698232368797,-148.9019608527489,0.8984365627872392,59
38,-185.23268467715604,-148.9019608527489,0.8960360615087105,85
39,-181.00803447731548,-148.9019608527489,0.8928553198344846,113
40,-185.26465709325313,-148.9019608527489,0.891143255206396,61
