episode,return,update
1,-162.70753046002298,1
2,-185.74491198717166,1
3,-212.99747771064662,2
4,-236.81819935896266,2
5,-186.26068634040905,2
6,-206.83110238569688,3
7,-189.5182707026348,3
8,-190.254268561304,3
9,-160.27209872603112,4
10,-184.79406383207686,4
11,-216.24258791726223,4
12,-190.27752603487042,5
13,-230.05076330785022,5
14,-241.1293306460657,5
15,-180.63804449995928,6
16,-274.484330379727,6
17,-196.39380056036583,7
18,-270.0541409736775,7
19,-213.83954370615024,7
20,-241.94812701181323,8
21,-274.06833699455757,8
22,-242.87447406507874,8
