episode,return,best_return,epsilon,steps
1,-209.7826910018921,-209.7826910018921,0.9975647931856284,77
2,-218.5822319984436,-209.7826910018921,0.994631890674411,93
3,-214.004864692688,-209.7826910018921,0.9917080660829329,93
4,-213.8166105747223,-209.7826910018921,0.9897952050829658,61
5,-212.9684615135193,-209.7826910018921,0.9866365479488303,101
6,-211.14261031150818,-209.7826910018921,0.9839865004031642,85
7,-209.4697070121765,-209.4697070121765,0.9809714876158898,97
8,-209.44786548614502,-209.44786548614502,0.9789565663456761,65
9,-92.47090995311737,-92.47090995311737,0.9748164800919066,134
10,-208.86645555496216,-92.47090995311737,0.972876403277347,63
11,-214.0998649597168,-92.47090995311737,0.9695906738063912,107
12,-210.82963585853577,-92.47090995311737,0.9672945684494594,75
13,-94.35215711593628,-92.47090995311737,0.9649431979401182,77
14,-218.04466485977173,-92.47090995311737,0.9629021048670267,67
15,-219.77599263191223,-92.47090995311737,0.9592577899365049,120
16,-219.57094311714172,-92.47090995311737,0.9567154290908754,84
17,-95.68777680397034,-92.47090995311737,0.9542103167404122,83
18,-211.0513138771057,-92.47090995311737,0.9507508121463364,115
19,-217.0429027080536,-92.47090995311737,0.9477233834432786,101
20,-207.09556341171265,-92.47090995311737,0.9452431147029328,83
21,-208.25474500656128,-92.47090995311737,0.9425911624701363,89
22,-213.98916721343994,-92.47090995311737,0.9407483789332471,62
23,-226.62867784500122,-92.47090995311737,0.9378729436335203,97
24,-96.3246214389801,-92.47090995311737,0.9339748847000529,132
25,-222.7789843082428,-92.47090995311737,0.9310919447755898,98
26,-214.97615933418274,-92.47090995311737,0.9285111953538926,88
27,-220.87946772575378,-92.47090995311737,0.9257336433470053,95
28,-209.63767290115356,-92.47090995311737,0.9238382745108012,65
29,-206.25963807106018,-92.47090995311737,0.9212206880301794,90
30,-215.28632998466492,-92.47090995311737,0.9189005277840033,80
31,-210.55805206298828,-92.47090995311737,0.9160090145574276,100
32,-214.60007071495056,-92.47090995311737,0.9128969871154055,108
33,-210.51871418952942,-92.47090995311737,0.910857212264889,71
34,-209.81104373931885,-92.47090995311737,0.9086791340577487,76
35,-209.2106831073761,-92.47090995311737,0.9062781953651697,84
36,-214.02179718017578,-92.47090995311737,0.9029452139415745,117
37,-205.72476029396057,-92.47090995311737,0.9013829135955875,55
38,-212.48178362846375,-92.47090995311737,0.8992288065687608,76
39,-210.67240715026855,-92.47090995311737,0.8958668712160021,119
40,-213.69181990623474,-92.47090995311737,0.8941205515007551,62
