episode,return,update
1,-210.89723825454712,1
2,-210.293927192688,1
3,-219.72077131271362,2
4,-215.97988605499268,2
5,-213.3994972705841,2
6,-209.37997102737427,3
7,-208.17135453224182,3
8,-209.1238260269165,3
9,-209.36736345291138,4
10,-95.68294823169708,4
11,-207.48116254806519,4
12,-209.02920484542847,5
13,-210.61856865882874,5
14,-94.31913435459137,5
15,-216.9289207458496,6
16,-221.8160355091095,6
17,-217.47819542884827,6
18,-95.07338404655457,7
19,-212.90316820144653,7
20,-210.10061860084534,8
21,-206.74620270729065,8
22,-207.18385219573975,8
23,-213.32355737686157,8
