episode,return,update
1,-210.89723825454712,1
2,-210.293927192688,1
3,-219.72077131271362,2
4,-215.97988605499268,2
5,-213.3994972705841,2
6,-209.37997102737427,3
7,-208.17135453224182,3
8,-209.1238260269165,3
9,-209.36736345291138,4
10,-88.30503106117249,4
11,-207.4415636062622,4
12,-212.02528476715088,5
13,-210.59281706809998,5
14,-88.0884325504303,5
15,-221.02322340011597,6
16,-221.49996161460876,6
17,-222.79122948646545,7
18,-90.61863541603088,7
19,-222.9357123374939,7
20,-208.66043210029602,8
21,-88.55530023574829,8
22,-206.86977624893188,8
