episode,return,best_return,epsilon,steps
1,-182.73851396612073,-182.73851396612073,0.9975647931856284,77
2,-238.1643151286815,-182.73851396612073,0.994631890674411,93
3,-193.8422158226168,-182.73851396612073,0.9917708487134029,91
4,-175.64177312601598,-175.64177312601598,0.9898265321119161,62
5,-198.39030658854276,-175.64177312601598,0.9865741075936687,104
6,-189.3066619347672,-175.64177312601598,0.9839865004031642,83
7,-176.88652906482247,-175.64177312601598,0.9805681540331773,110
8,-169.7561941401629,-169.7561941401629,0.9777187829628456,92
9,-145.02236793283492,-145.02236793283492,0.9738921258659572,124
10,-187.8896490110475,-145.02236793283492,0.9719539881584971,63
11,-175.4746628962522,-145.02236793283492,0.9687327895857508,105
12,-206.1687762221155,-145.02236793283492,0.9660112545829447,89
13,-183.29143890034717,-145.02236793283492,0.9637850035673516,73
14,-183.50332842554744,-145.02236793283492,0.9617161031988125,68
15,-241.3930077056481,-145.02236793283492,0.9586518200889397,101
16,-197.5545370455397,-145.02236793283492,0.9560507481889937,86
17,-188.18490862710962,-145.02236793283492,0.9534270072823651,87
18,-219.99459060469877,-145.02236793283492,0.9506607415687258,92
19,-252.2454725674487,-145.02236793283492,0.9467364306450476,131
20,-184.47906901654054,-145.02236793283492,0.9443483190606172,80
21,-223.84473356526732,-145.02236793283492,0.9420855040948072,76
22,-179.4305255880541,-145.02236793283492,0.9399174016293074,73
23,-190.1414381931522,-145.02236793283492,0.9371333577174242,94
24,-170.73744605819675,-145.02236793283492,0.9336213654547355,119
25,-221.00295960997232,-145.02236793283492,0.9304753962314132,107
26,-201.09861336229525,-145.02236793283492,0.9279549810832795,86
27,-188.76688090921837,-145.02236793283492,0.9250333365923792,100
28,-177.78121114778233,-145.02236793283492,0.9232850188197397,60
29,-189.92391959675027,-145.02236793283492,0.9206110469478308,92
30,-193.91608093137978,-145.02236793283492,0.9181767456286337,84
31,-207.98738009072008,-145.02236793283492,0.9147686241287286,118
32,-184.54545431218244,-145.02236793283492,0.9107998236970449,138
33,-184.36424660309441,-145.02236793283492,0.9087936322419992,70
34,-179.28634557210265,-145.02236793283492,0.9064494681309485,82
35,-170.46388934157432,-145.02236793283492,0.9031726963282625,115
36,-229.02630349472832,-145.02236793283492,0.900050124654896,110
37,-180.41529954851234,-145.02236793283492,0.8980972560280002,69
38,-186.45931025348457,-145.02236793283492,0.8956413367896044,87
39,-211.2240945587775,-145.02236793283492,0.8917042043388018,140
40,-184.10647074585262,-145.02236793283492,0.8901064846648957,57
41,-186.65960489173253,-145.02236793283492,0.8877574766537346,84
42,-171.71290591765617,-145.02236793283492,0.8853314993387511,87
43,-210.97287980311705,-145.02236793283492,0.8819968470920911,120
44,-178.57873435530237,-145.02236793283492,0.8792005008642834,101
45,-183.94533351671754,-145.02236793283492,0.877185232549682,73
46,-211.0430387544503,-145.02236793283492,0.8749548448002199,81
47,-179.9893647847565,-145.02236793283492,0.8729224638167513,74
48,-191.59295997739858,-145.02236793283492,0.8704300477519549,91
49,-188.2658990289142,-145.02236793283492,0.8681087859570814,85
50,-182.90064927777917,-145.02236793283492,0.8655765756744307,93
51,-187.23144868089042,-145.02236793283492,0.8629980014154853,95
52,-184.2354280138604,-145.02236793283492,0.8611572928700576,68
53,-165.50914034578233,-145.02236793283492,0.8578383564382511,123
54,-184.01834064965323,-145.02236793283492,0.855069533946279,103
55,-185.96248104084552,-145.02236793283492,0.8518824167563444,119
56,-189.9391222086391,-145.02236793283492,0.8497735709245372,79
57,-187.20646915714013,-145.02236793283492,0.8472715356379579,94
58,-190.48762692977965,-145.02236793283492,0.8438241670100457,130
59,-167.9904437879693,-145.02236793283492,0.8420268699376809,68
60,-180.20599648639651,-145.02236793283492,0.8393648630348741,101
61,-185.41480976809083,-145.02236793283492,0.8353231726186123,154
62,-186.10953158213073,-145.02236793283492,0.8324489269895496,110
63,-206.06983948285102,-145.02236793283492,0.8304172021661853,78
64,-196.47831484005442,-145.02236793283492,0.8283907529660797,78
65,-179.8702007233268,-145.02236793283492,0.8266542867268482,67
66,-172.20094502032592,-145.02236793283492,0.8245085128894377,83
67,-173.38978861737218,-145.02236793283492,0.8218796555355805,102
68,-152.8516411676525,-145.02236793283492,0.8195931392336631,89
69,-201.55406116311406,-145.02236793283492,0.8175947960435358,78
70,-181.2366649349599,-145.02236793283492,0.8138937060353071,145
71,-179.54518302494262,-145.02236793283492,0.8116054590039332,90
72,-180.63834547132947,-145.02236793283492,0.8095265798451341,82
73,-172.23619634455454,-145.02236793283492,0.8073018996703558,88
74,-194.65668007726893,-145.02236793283492,0.8041279017531421,126
75,-140.00524979670178,-140.00524979670178,0.8009922393291014,125
76,-187.7467773699476,-140.00524979670178,0.7984930994118844,100
77,-179.85820652809724,-140.00524979670178,0.7959276795946394,103
78,-189.0682271913111,-140.00524979670178,0.7941892106780709,70
79,-191.54406229538404,-140.00524979670178,0.7914902293311828,109
80,-171.39157411211036,-140.00524979670178,0.7894662567270135,82
81,-170.25448201856824,-140.00524979670178,0.7871774607977938,93
82,-188.09580311523908,-140.00524979670178,0.7851652603316978,82
83,-173.81890274881306,-140.00524979670178,0.782499006513388,109
84,-184.33324667944322,-140.00524979670178,0.7800857438652986,99
85,-232.25839168821483,-140.00524979670178,0.7775349103244419,105
86,-229.02491573247528,-140.00524979670178,0.7741959352673049,138
87,-136.12118156843496,-136.12118156843496,0.7716416249017678,106
88,-181.06802735800633,-136.12118156843496,0.7699837564440637,69
89,-180.55625011681377,-136.12118156843496,0.7681381676546643,77
90,-201.46238438682815,-136.12118156843496,0.7650329683856372,130
91,-180.8173342680915,-136.12118156843496,0.7621785491564443,120
92,-175.42455505798208,-136.12118156843496,0.7601635658415169,85
93,-140.73539307259716,-136.12118156843496,0.7574229020848559,116
94,-186.667884176671,-136.12118156843496,0.7543405567641569,131
95,-181.70854602770189,-136.12118156843496,0.7523477496632023,85
96,-176.85022429957664,-136.12118156843496,0.750547368583162,77
97,-136.16115209806713,-136.12118156843496,0.7466584889885601,167
98,-179.63665258360066,-136.12118156843496,0.7445716453521816,90
99,-174.58127676833908,-136.12118156843496,0.7410844182875983,151
100,-198.42962885900528,-136.12118156843496,0.738348546494731,119
101,-182.69353712498693,-136.12118156843496,0.7350752260346568,143
102,-175.1162028610803,-136.12118156843496,0.7331141559301436,86
103,-176.64667750804136,-136.12118156843496,0.7305913037079662,111
104,-169.0351851498972,-136.12118156843496,0.7282360053976371,104
105,-172.15906401833075,-136.12118156843496,0.7267229685056693,67
106,-173.31315052610302,-136.12118156843496,0.7244484986842203,101
107,-164.05605881355356,-136.12118156843496,0.721509827674496,131
108,-191.99857750913975,-136.12118156843496,0.7192974975954898,99
109,-185.69949857719897,-136.12118156843496,0.7172481292404387,92
110,-174.6365907352997,-136.12118156843496,0.714318686970939,132
111,-128.82040110747562,-128.82040110747562,0.710763059485113,161
112,-178.26801323482115,-128.82040110747562,0.7085641827839944,100
113,-223.63800072360934,-128.82040110747562,0.7066790021765504,86
114,-143.94893101055237,-128.82040110747562,0.7038177554688245,131
115,-179.31323627823213,-128.82040110747562,0.7005785113981815,149
116,-166.02652966866813,-128.82040110747562,0.6986513218922512,89
117,-167.5006510103862,-128.82040110747562,0.6958250529647011,131
118,-169.83049267050848,-128.82040110747562,0.693139713586092,125
119,-187.16023285513506,-128.82040110747562,0.6900813757805023,143
120,-123.54164815388005,-123.54164815388005,0.686634251962104,162
