episode,return,update
1,-162.70753046002298,1
2,-185.74491198717166,1
3,-212.99747771064662,1
4,-222.76917295025277,1
5,-186.2785600646379,1
6,-188.44915807601438,2
7,-186.99264072011118,2
8,-187.2919317002157,2
9,-181.68803659037178,2
10,-199.73295423749505,2
11,-179.58117617410025,2
12,-186.54935516961197,3
13,-184.00745584486668,3
14,-209.93947727429898,3
15,-185.64409101373272,3
16,-214.16012686327596,3
17,-198.52129443943238,3
18,-194.84199814883434,3
19,-187.247278187459,4
20,-218.8718300327311,4
21,-189.08171130735744,4
22,-183.2437910639535,4
23,-181.63742411328758,4
24,-213.9944490361546,5
25,-185.46681706610286,5
26,-192.7245336819835,5
27,-227.2113057755591,5
28,-227.8338854142405,5
29,-179.9292502129612,6
30,-182.00692426366822,6
31,-192.59618078430145,6
32,-200.36011587520744,6
33,-228.92042170718128,6
34,-238.85172787672093,7
35,-175.7832166213042,7
36,-204.3385591963805,7
37,-242.69984094980447,7
38,-187.90598895964544,7
39,-177.2068168643271,8
40,-209.9610545553886,8
41,-202.74131900053376,8
42,-179.291380208782,8
43,-177.29762601498447,8
44,-197.93060838346787,9
45,-179.01027075705377,9
46,-201.18431659274918,9
47,-172.68466660183662,9
48,-213.53087922907753,9
49,-175.9751735243267,10
50,-249.12174626579366,10
51,-189.04007332808746,10
52,-178.1687506488879,10
53,-227.25632525319895,10
54,-226.77687394651343,11
55,-138.41226378378212,11
56,-216.00657511730677,11
57,-220.05110556320048,11
58,-185.19791960802874,11
59,-233.45924119408951,12
60,-172.1391312735969,12
61,-192.42733562670466,12
62,-292.1601860480277,12
63,-205.95019744586526,13
64,-166.45429795300873,13
65,-224.30835847546948,13
66,-196.17943361170288,13
67,-177.85760006836034,13
68,-213.4758710457664,14
69,-172.9656353773849,14
70,-234.84741908546718,14
71,-219.7721317701611,14
72,-168.35452461974026,14
73,-178.1848398620395,15
74,-182.88339004484578,15
75,-207.69851775607657,15
76,-164.1768928213838,15
77,-217.3598354872867,15
78,-140.56367646350614,15
79,-179.70168644011233,16
80,-217.39930305963378,16
81,-176.96774372670222,16
82,-246.37942114751706,16
83,-240.77794418664587,16
84,-229.6464112871524,17
85,-192.82109729415768,17
86,-241.14005053229516,17
87,-244.12223087621214,17
88,-150.47453032168627,17
89,-240.0627197042021,18
90,-165.68548084943947,18
91,-136.72947759316622,18
92,-142.8173769624154,18
93,-180.9775015682308,18
94,-217.69626740723984,19
95,-218.27056595718028,19
96,-252.22999079176546,19
97,-182.5365529396038,19
98,-173.17146086419677,20
99,-144.6708551655471,20
100,-139.26555669237774,20
101,-210.432657317012,20
102,-190.88272231201313,21
103,-178.88769744169724,21
104,-191.02418944610162,21
105,-190.99551105162476,21
106,-171.671106447239,21
107,-247.08390219266258,21
108,-255.91795800394152,22
109,-205.9255962074539,22
110,-270.35983263799596,22
111,-255.35831893219847,22
112,-194.56410787114237,23
113,-227.33959321584655,23
114,-180.2615046673795,23
115,-193.33454118192307,23
116,-286.49662669405006,23
117,-170.27688928152142,24
118,-171.56090600297742,24
119,-225.8976590164031,24
120,-252.88629318690744,24
121,-232.91271524015144,24
122,-229.1069089233733,25
123,-205.69682499003304,25
124,-232.12345438586212,25
125,-187.9623391243057,25
126,-171.58172411459014,25
127,-204.5976368309264,26
128,-243.88897677505173,26
129,-177.77506514502394,26
130,-226.00482005841602,26
131,-169.44839856522364,26
132,-212.1970343025982,26
133,-220.3254855229178,27
134,-246.0667212642365,27
135,-175.2058475788556,27
136,-189.79107454368017,27
137,-226.7911997344525,27
138,-181.3094974874094,28
139,-220.6765806685571,28
140,-204.3581042099756,28
141,-252.43370881981087,28
142,-238.0223926281645,28
143,-217.8726258546896,29
144,-192.65128887008848,29
145,-193.8698829309585,29
146,-228.41984097963288,29
147,-213.0010896860873,29
148,-182.45685136261707,30
149,-254.81785844313998,30
150,-208.05950423399796,30
151,-175.00422062892775,30
152,-204.84855501074742,31
153,-225.9215067580854,31
154,-224.003382221291,31
155,-231.54833905514744,31
156,-177.21978111736135,32
157,-287.38595012381325,32
158,-147.7605168815544,32
159,-187.3092451555239,32
160,-179.50393170959234,32
161,-202.79431312685995,33
162,-270.8352124917768,33
163,-179.68091677077308,33
164,-276.08546107327106,33
165,-182.10685121059345,33
166,-267.25201428028765,34
167,-183.61616268253732,34
168,-183.30283345853687,34
169,-273.09849345039845,34
170,-271.25505087862194,34
171,-250.52007572899922,34
172,-189.15008986201025,35
173,-273.7505900703836,35
174,-217.95349098584185,35
175,-209.2235028666724,35
176,-267.6276142316749,35
177,-235.1501755573271,36
178,-204.57066718390143,36
179,-247.59892039009748,36
180,-176.25466830570522,36
181,-152.81560272297634,36
182,-258.9385574361427,36
183,-192.4495364158489,37
184,-212.7635905268943,37
185,-215.00579870624307,37
186,-187.7536981441293,37
187,-179.79204678067845,37
188,-182.12893414500238,37
189,-219.06932345857922,38
190,-192.72377837223033,38
191,-184.81413568185266,38
192,-236.33499876441678,38
193,-196.53845285469706,38
194,-254.03341562092368,38
195,-182.4761670740279,39
196,-194.00464391636234,39
197,-245.89504910671548,39
198,-176.462734347026,39
199,-233.38854500093285,39
200,-251.94292258966874,39
201,-231.0892048483852,40
202,-181.0956549351066,40
203,-204.02817112275815,40
204,-188.60184588462675,40
205,-206.71145913050805,40
206,-262.0991446759365,40
